metric,value
pedca_enabled,1
split_stas_across_links,0
distribute_pedca_across_links,1
enable_ul,1
enable_dl,1
stas_link0_target,5
stas_link1_target,0
flows_considered,16
aggregate_throughput_mbps,94.292196
dl_throughput_mbps,309.694009
delay_samples_present,1
jitter_samples_present,1
completion_samples_present,1
tx_packets,123926
rx_packets,123411
lost_packets,0
delay_samples,123411
delay_p50_ms,4.000000
delay_p90_ms,14.000000
delay_p95_ms,23.000000
delay_p99_ms,58.000000
delay_p99_9_ms,135.000000
ul_delay_p50_ms,5.000000
ul_delay_p90_ms,14.000000
ul_delay_p95_ms,19.000000
ul_delay_p99_ms,49.000000
ul_delay_p99_9_ms,152.000000
dl_delay_p50_ms,4.000000
dl_delay_p90_ms,15.000000
dl_delay_p95_ms,29.000000
dl_delay_p99_ms,61.000000
dl_delay_p99_9_ms,127.000000
delay_over_10ms_packets,18474
delay_over_20ms_packets,7319
jitter_samples,123395
jitter_p50_ms,1.000000
jitter_p90_ms,1.000000
jitter_p95_ms,1.000000
jitter_p99_ms,3.000000
jitter_p99_9_ms,17.000000
ul_jitter_p50_ms,1.000000
ul_jitter_p90_ms,1.000000
ul_jitter_p95_ms,1.000000
ul_jitter_p99_ms,4.000000
ul_jitter_p99_9_ms,19.000000
dl_jitter_p50_ms,1.000000
dl_jitter_p90_ms,1.000000
dl_jitter_p95_ms,1.000000
dl_jitter_p99_ms,2.000000
dl_jitter_p99_9_ms,14.000000
flow_completion_p50_ms,1776.683000
flow_completion_p90_ms,1797.985000
flow_completion_p95_ms,1799.949186
flow_completion_p99_ms,1799.949186
flow_completion_p99_9_ms,1799.949186
retrans_ratio_p50,0.006392
retrans_ratio_p90,1.000000
retrans_ratio_p95,1.000000
retrans_ratio_p99,1.000000
retrans_ratio_p99_9,1.000000
vo_mac_tx_data_failed,13
vo_mac_tx_final_data_failed,0
vo_mac_tx_rts_failed,428
vo_mac_tx_data_failed_rate,0.000105
vo_mac_tx_final_data_failed_rate,0.000000
vo_mac_tx_rts_failed_rate,0.003454
vo_channel_access_delay_p50_ms,0.691000
vo_channel_access_delay_p90_ms,120.001000
vo_channel_access_delay_p95_ms,120.001000
vo_channel_access_delay_p99_ms,120.001000
vo_channel_access_delay_p99_9_ms,120.001000
vo_queue_delay_p50_ms,2.068000
vo_queue_delay_p90_ms,6.409000
vo_queue_delay_p95_ms,6.409000
vo_queue_delay_p99_ms,6.409000
vo_queue_delay_p99_9_ms,6.409000
vo_queue_depth_mean_packets,0.002116
vo_queue_depth_max_packets,1
vo_queue_drop_packets,0
vo_queue_drop_before_enqueue_packets,0
vo_queue_expired_drop_packets,0
