value_ms,cdf
1.000000,0.082918
2.000000,0.255634
3.000000,0.417483
4.000000,0.546013
5.000000,0.635640
6.000000,0.700594
7.000000,0.759057
8.000000,0.796542
9.000000,0.825745
10.000000,0.850305
11.000000,0.867492
12.000000,0.882134
13.000000,0.893810
14.000000,0.902926
15.000000,0.910162
16.000000,0.917495
17.000000,0.924302
18.000000,0.930095
19.000000,0.935840
20.000000,0.940694
21.000000,0.945613
22.000000,0.948651
23.000000,0.950799
24.000000,0.952930
25.000000,0.955134
26.000000,0.956625
27.000000,0.959031
28.000000,0.960854
29.000000,0.962467
30.000000,0.964177
31.000000,0.965911
32.000000,0.967523
33.000000,0.968893
34.000000,0.970651
35.000000,0.972515
36.000000,0.973527
37.000000,0.974532
38.000000,0.975262
39.000000,0.975853
40.000000,0.976931
41.000000,0.977709
42.000000,0.978916
43.000000,0.980545
44.000000,0.981995
45.000000,0.982943
46.000000,0.983632
47.000000,0.984523
48.000000,0.985471
49.000000,0.986014
50.000000,0.986573
51.000000,0.987748
52.000000,0.988777
53.000000,0.989223
54.000000,0.989393
55.000000,0.989531
57.000000,0.989855
58.000000,0.990009
59.000000,0.990528
60.000000,0.991103
61.000000,0.991678
62.000000,0.992683
63.000000,0.993574
64.000000,0.993939
65.000000,0.994198
66.000000,0.994368
67.000000,0.994393
70.000000,0.994749
71.000000,0.995049
72.000000,0.995179
73.000000,0.995308
74.000000,0.995389
76.000000,0.995430
77.000000,0.995568
78.000000,0.995681
79.000000,0.995819
80.000000,0.995851
84.000000,0.995867
85.000000,0.995957
86.000000,0.996094
87.000000,0.996192
88.000000,0.996289
91.000000,0.996297
92.000000,0.996645
93.000000,0.996775
108.000000,0.997075
109.000000,0.997496
110.000000,0.997683
111.000000,0.997747
116.000000,0.997755
120.000000,0.997772
121.000000,0.998031
122.000000,0.998169
123.000000,0.998242
126.000000,0.998566
127.000000,0.998704
128.000000,0.998728
133.000000,0.998801
134.000000,0.998882
135.000000,0.999173
136.000000,0.999376
137.000000,0.999498
151.000000,0.999530
152.000000,0.999668
153.000000,0.999903
154.000000,0.999984
1046.000000,0.999992
1057.000000,1.000000
