metric,value
pedca_enabled,1
split_stas_across_links,0
distribute_pedca_across_links,0
enable_ul,0
enable_dl,1
stas_link0_target,5
stas_link1_target,0
flows_considered,4
aggregate_throughput_mbps,0.000000
dl_throughput_mbps,406.973618
delay_samples_present,1
jitter_samples_present,1
completion_samples_present,1
tx_packets,83797
rx_packets,83459
lost_packets,0
delay_samples,83459
delay_p50_ms,3.000000
delay_p90_ms,5.000000
delay_p95_ms,7.000000
delay_p99_ms,9.000000
delay_p99_9_ms,11.000000
ul_delay_p50_ms,0.000000
ul_delay_p90_ms,0.000000
ul_delay_p95_ms,0.000000
ul_delay_p99_ms,0.000000
ul_delay_p99_9_ms,0.000000
dl_delay_p50_ms,3.000000
dl_delay_p90_ms,5.000000
dl_delay_p95_ms,7.000000
dl_delay_p99_ms,9.000000
dl_delay_p99_9_ms,11.000000
delay_over_10ms_packets,84
delay_over_20ms_packets,1
jitter_samples,83455
jitter_p50_ms,1.000000
jitter_p90_ms,1.000000
jitter_p95_ms,1.000000
jitter_p99_ms,1.000000
jitter_p99_9_ms,5.000000
ul_jitter_p50_ms,0.000000
ul_jitter_p90_ms,0.000000
ul_jitter_p95_ms,0.000000
ul_jitter_p99_ms,0.000000
ul_jitter_p99_9_ms,0.000000
dl_jitter_p50_ms,1.000000
dl_jitter_p90_ms,1.000000
dl_jitter_p95_ms,1.000000
dl_jitter_p99_ms,1.000000
dl_jitter_p99_9_ms,5.000000
flow_completion_p50_ms,1795.502000
flow_completion_p90_ms,1799.978093
flow_completion_p95_ms,1799.978093
flow_completion_p99_ms,1799.978093
flow_completion_p99_9_ms,1799.978093
retrans_ratio_p50,0.004661
retrans_ratio_p90,1.000000
retrans_ratio_p95,1.000000
retrans_ratio_p99,1.000000
retrans_ratio_p99_9,1.000000
vo_mac_tx_data_failed,0
vo_mac_tx_final_data_failed,0
vo_mac_tx_rts_failed,326
vo_mac_tx_data_failed_rate,0.000000
vo_mac_tx_final_data_failed_rate,0.000000
vo_mac_tx_rts_failed_rate,0.003890
vo_channel_access_delay_p50_ms,1.396000
vo_channel_access_delay_p90_ms,120.001000
vo_channel_access_delay_p95_ms,120.001000
vo_channel_access_delay_p99_ms,120.001000
vo_channel_access_delay_p99_9_ms,120.001000
vo_queue_delay_p50_ms,3.696000
vo_queue_delay_p90_ms,6.409000
vo_queue_delay_p95_ms,6.409000
vo_queue_delay_p99_ms,6.409000
vo_queue_delay_p99_9_ms,6.409000
vo_queue_depth_mean_packets,0.002638
vo_queue_depth_max_packets,1
vo_queue_drop_packets,0
vo_queue_drop_before_enqueue_packets,0
vo_queue_expired_drop_packets,0
