value_ms,cdf
1.000000,0.988763
2.000000,0.991706
3.000000,0.993843
4.000000,0.995000
5.000000,0.996446
6.000000,0.997289
7.000000,0.997941
8.000000,0.998405
9.000000,0.998856
10.000000,0.999234
11.000000,0.999458
12.000000,0.999607
13.000000,0.999721
14.000000,0.999825
15.000000,0.999884
16.000000,0.999919
17.000000,0.999944
18.000000,0.999968
19.000000,0.999983
20.000000,0.999990
21.000000,0.999993
22.000000,0.999996
23.000000,0.999997
24.000000,0.999997
25.000000,0.999998
26.000000,0.999999
27.000000,0.999999
1017.000000,0.999999
1027.000000,0.999999
1049.000000,1.000000
1052.000000,1.000000
1057.000000,1.000000
