value_ms,cdf
1.000000,0.988009
2.000000,0.991840
3.000000,0.994586
4.000000,0.996050
5.000000,0.997731
6.000000,0.998379
7.000000,0.998872
8.000000,0.999184
9.000000,0.999395
10.000000,0.999546
11.000000,0.999647
12.000000,0.999723
13.000000,0.999787
14.000000,0.999833
15.000000,0.999870
16.000000,0.999902
17.000000,0.999925
18.000000,0.999945
19.000000,0.999964
20.000000,0.999974
21.000000,0.999980
22.000000,0.999984
23.000000,0.999989
24.000000,0.999992
25.000000,0.999994
26.000000,0.999995
27.000000,0.999996
28.000000,0.999997
29.000000,0.999999
30.000000,0.999999
32.000000,0.999999
33.000000,0.999999
34.000000,1.000000
35.000000,1.000000
