value_ms,cdf
1.000000,0.057616
2.000000,0.214441
3.000000,0.396762
4.000000,0.511279
5.000000,0.607792
6.000000,0.677126
7.000000,0.754930
8.000000,0.814234
9.000000,0.863517
10.000000,0.898322
11.000000,0.926463
12.000000,0.948903
13.000000,0.964334
14.000000,0.974612
15.000000,0.981696
16.000000,0.987571
17.000000,0.991261
18.000000,0.993697
19.000000,0.995518
20.000000,0.996710
21.000000,0.997728
22.000000,0.998481
23.000000,0.998929
24.000000,0.999182
25.000000,0.999290
26.000000,0.999422
27.000000,0.999581
28.000000,0.999689
29.000000,0.999832
30.000000,0.999910
31.000000,0.999936
32.000000,0.999964
33.000000,0.999987
34.000000,0.999994
293.000000,0.999995
1013.000000,0.999996
1023.000000,0.999997
1045.000000,0.999997
1059.000000,0.999998
1112.000000,0.999999
3293.000000,1.000000
