metric,value
pedca_enabled,1
split_stas_across_links,0
distribute_pedca_across_links,1
enable_ul,0
enable_dl,1
stas_link0_target,20
stas_link1_target,0
flows_considered,8
aggregate_throughput_mbps,0.000000
dl_throughput_mbps,353.172132
delay_samples_present,1
jitter_samples_present,1
completion_samples_present,1
tx_packets,1195545
rx_packets,1195230
lost_packets,36
delay_samples,1195230
delay_p50_ms,4.000000
delay_p90_ms,11.000000
delay_p95_ms,13.000000
delay_p99_ms,17.000000
delay_p99_9_ms,24.000000
ul_delay_p50_ms,0.000000
ul_delay_p90_ms,0.000000
ul_delay_p95_ms,0.000000
ul_delay_p99_ms,0.000000
ul_delay_p99_9_ms,0.000000
dl_delay_p50_ms,4.000000
dl_delay_p90_ms,11.000000
dl_delay_p95_ms,13.000000
dl_delay_p99_ms,17.000000
dl_delay_p99_9_ms,24.000000
delay_over_10ms_packets,121529
delay_over_20ms_packets,3932
jitter_samples,1195222
jitter_p50_ms,1.000000
jitter_p90_ms,1.000000
jitter_p95_ms,1.000000
jitter_p99_ms,2.000000
jitter_p99_9_ms,9.000000
ul_jitter_p50_ms,0.000000
ul_jitter_p90_ms,0.000000
ul_jitter_p95_ms,0.000000
ul_jitter_p99_ms,0.000000
ul_jitter_p99_9_ms,0.000000
dl_jitter_p50_ms,1.000000
dl_jitter_p90_ms,1.000000
dl_jitter_p95_ms,1.000000
dl_jitter_p99_ms,2.000000
dl_jitter_p99_9_ms,9.000000
flow_completion_p50_ms,29790.781000
flow_completion_p90_ms,29799.979217
flow_completion_p95_ms,29799.979217
flow_completion_p99_ms,29799.979217
flow_completion_p99_9_ms,29799.979217
retrans_ratio_p50,1.000000
retrans_ratio_p90,1.000000
retrans_ratio_p95,1.000000
retrans_ratio_p99,1.000000
retrans_ratio_p99_9,1.000000
vo_mac_tx_data_failed,5399
vo_mac_tx_final_data_failed,60
vo_mac_tx_rts_failed,9033
vo_mac_tx_data_failed_rate,0.004516
vo_mac_tx_final_data_failed_rate,0.000050
vo_mac_tx_rts_failed_rate,0.007556
vo_channel_access_delay_p50_ms,0.469000
vo_channel_access_delay_p90_ms,8.740000
vo_channel_access_delay_p95_ms,21.876000
vo_channel_access_delay_p99_ms,120.001000
vo_channel_access_delay_p99_9_ms,738.522600
vo_queue_delay_p50_ms,12.484000
vo_queue_delay_p90_ms,41.564000
vo_queue_delay_p95_ms,109.542000
vo_queue_delay_p99_ms,431.811400
vo_queue_delay_p99_9_ms,438.647000
vo_queue_depth_mean_packets,0.006887
vo_queue_depth_max_packets,2
vo_queue_drop_packets,0
vo_queue_drop_before_enqueue_packets,0
vo_queue_expired_drop_packets,0
