value_ms,cdf
0.009000,0.005236
0.009000,0.010471
0.009000,0.015707
0.009000,0.020942
0.018000,0.026178
0.025000,0.031414
0.025000,0.036649
0.025000,0.041885
0.025000,0.047120
0.025000,0.052356
0.025000,0.057592
0.025000,0.062827
0.025000,0.068063
0.025000,0.073298
0.025000,0.078534
0.025000,0.083770
0.025000,0.089005
0.025000,0.094241
0.025000,0.099476
0.025000,0.104712
0.025000,0.109948
0.025000,0.115183
0.025000,0.120419
0.025000,0.125654
0.025000,0.130890
0.025000,0.136126
0.025000,0.141361
0.025000,0.146597
0.025000,0.151832
0.025000,0.157068
0.025000,0.162304
0.025000,0.167539
0.025000,0.172775
0.025000,0.178010
0.025000,0.183246
0.025000,0.188482
0.025000,0.193717
0.025000,0.198953
0.025000,0.204188
0.025000,0.209424
0.025000,0.214660
0.025000,0.219895
0.025000,0.225131
0.025000,0.230366
0.025000,0.235602
0.025000,0.240838
0.025000,0.246073
0.025000,0.251309
0.025000,0.256545
0.025000,0.261780
0.025000,0.267016
0.027000,0.272251
0.027000,0.277487
0.027000,0.282723
0.034000,0.287958
0.034000,0.293194
0.034000,0.298429
0.034000,0.303665
0.034000,0.308901
0.034000,0.314136
0.034000,0.319372
0.034000,0.324607
0.034000,0.329843
0.034000,0.335079
0.034000,0.340314
0.034000,0.345550
0.034000,0.350785
0.034000,0.356021
0.034000,0.361257
0.036000,0.366492
0.036000,0.371728
0.043000,0.376963
0.043000,0.382199
0.043000,0.387435
0.043000,0.392670
0.043000,0.397906
0.043000,0.403141
0.043000,0.408377
0.043000,0.413613
0.043000,0.418848
0.048000,0.424084
0.052000,0.429319
0.052000,0.434555
0.052000,0.439791
0.052000,0.445026
0.052000,0.450262
0.052000,0.455497
0.052000,0.460733
0.052000,0.465969
0.052000,0.471204
0.061000,0.476440
0.061000,0.481675
0.070000,0.486911
0.070000,0.492147
0.070000,0.497382
0.070000,0.502618
0.070000,0.507853
0.070000,0.513089
0.070000,0.518325
0.070000,0.523560
0.079000,0.528796
0.079000,0.534031
0.079000,0.539267
0.079000,0.544503
0.079000,0.549738
0.079000,0.554974
0.088000,0.560209
0.088000,0.565445
0.088000,0.570681
0.088000,0.575916
0.088000,0.581152
0.097000,0.586387
0.097000,0.591623
0.103000,0.596859
0.112000,0.602094
0.127000,0.607330
0.154000,0.612565
0.161000,0.617801
0.181000,0.623037
0.182000,0.628272
0.206000,0.633508
0.251000,0.638743
0.315000,0.643979
0.326000,0.649215
0.327000,0.654450
0.343000,0.659686
0.369000,0.664921
0.421000,0.670157
0.466000,0.675393
0.522000,0.680628
0.538000,0.685864
0.540000,0.691099
0.549000,0.696335
0.552000,0.701571
0.621000,0.706806
0.652000,0.712042
0.719000,0.717277
0.740000,0.722513
0.835000,0.727749
0.859000,0.732984
0.868000,0.738220
0.972000,0.743455
1.011000,0.748691
1.163000,0.753927
1.163000,0.759162
1.264000,0.764398
1.584000,0.769634
1.594000,0.774869
1.597000,0.780105
1.638000,0.785340
1.696000,0.790576
2.017000,0.795812
2.086000,0.801047
2.248000,0.806283
2.345000,0.811518
2.373000,0.816754
2.486000,0.821990
2.555000,0.827225
2.884000,0.832461
3.159000,0.837696
3.345000,0.842932
3.505000,0.848168
3.963000,0.853403
4.164000,0.858639
4.164000,0.863874
4.166000,0.869110
4.179000,0.874346
4.183000,0.879581
4.186000,0.884817
4.202000,0.890052
4.206000,0.895288
4.284000,0.900524
4.302000,0.905759
4.360000,0.910995
4.400000,0.916230
4.715000,0.921466
4.744000,0.926702
5.510000,0.931937
8.076000,0.937173
12.127000,0.942408
120.800000,0.947644
460.874000,0.952880
477.603000,0.958115
483.420000,0.963351
504.640000,0.968586
1144.557000,0.973822
1656.030000,0.979058
2163.045000,0.984293
3328.716000,0.989529
3829.704000,0.994764
20495.694000,1.000000
