value_ms,cdf
0.025000,0.001802
0.025000,0.003604
0.025000,0.005405
0.025000,0.007207
0.025000,0.009009
0.025000,0.010811
0.025000,0.012613
0.025000,0.014414
0.025000,0.016216
0.025000,0.018018
0.025000,0.019820
0.025000,0.021622
0.025000,0.023423
0.025000,0.025225
0.025000,0.027027
0.025000,0.028829
0.025000,0.030631
0.025000,0.032432
0.025000,0.034234
0.025000,0.036036
0.025000,0.037838
0.025000,0.039640
0.025000,0.041441
0.025000,0.043243
0.025000,0.045045
0.025000,0.046847
0.025000,0.048649
0.025000,0.050450
0.025000,0.052252
0.025000,0.054054
0.025000,0.055856
0.025000,0.057658
0.025000,0.059459
0.025000,0.061261
0.025000,0.063063
0.025000,0.064865
0.025000,0.066667
0.025000,0.068468
0.025000,0.070270
0.025000,0.072072
0.025000,0.073874
0.025000,0.075676
0.025000,0.077477
0.025000,0.079279
0.025000,0.081081
0.025000,0.082883
0.025000,0.084685
0.025000,0.086486
0.025000,0.088288
0.025000,0.090090
0.025000,0.091892
0.025000,0.093694
0.025000,0.095495
0.025000,0.097297
0.025000,0.099099
0.025000,0.100901
0.025000,0.102703
0.025000,0.104505
0.025000,0.106306
0.025000,0.108108
0.025000,0.109910
0.025000,0.111712
0.025000,0.113514
0.025000,0.115315
0.025000,0.117117
0.025000,0.118919
0.025000,0.120721
0.034000,0.122523
0.034000,0.124324
0.034000,0.126126
0.034000,0.127928
0.034000,0.129730
0.034000,0.131532
0.034000,0.133333
0.034000,0.135135
0.034000,0.136937
0.034000,0.138739
0.034000,0.140541
0.034000,0.142342
0.034000,0.144144
0.034000,0.145946
0.034000,0.147748
0.034000,0.149550
0.034000,0.151351
0.034000,0.153153
0.034000,0.154955
0.034000,0.156757
0.034000,0.158559
0.034000,0.160360
0.034000,0.162162
0.034000,0.163964
0.034000,0.165766
0.034000,0.167568
0.034000,0.169369
0.034000,0.171171
0.034000,0.172973
0.034000,0.174775
0.034000,0.176577
0.034000,0.178378
0.034000,0.180180
0.034000,0.181982
0.034000,0.183784
0.034000,0.185586
0.034000,0.187387
0.034000,0.189189
0.034000,0.190991
0.034000,0.192793
0.034000,0.194595
0.034000,0.196396
0.034000,0.198198
0.034000,0.200000
0.034000,0.201802
0.034000,0.203604
0.034000,0.205405
0.034000,0.207207
0.034000,0.209009
0.038000,0.210811
0.043000,0.212613
0.043000,0.214414
0.043000,0.216216
0.043000,0.218018
0.043000,0.219820
0.043000,0.221622
0.043000,0.223423
0.043000,0.225225
0.043000,0.227027
0.043000,0.228829
0.043000,0.230631
0.043000,0.232432
0.043000,0.234234
0.043000,0.236036
0.043000,0.237838
0.043000,0.239640
0.043000,0.241441
0.043000,0.243243
0.043000,0.245045
0.043000,0.246847
0.043000,0.248649
0.043000,0.250450
0.043000,0.252252
