metric,value
pedca_enabled,1
split_stas_across_links,0
distribute_pedca_across_links,1
enable_ul,1
enable_dl,0
stas_link0_target,20
stas_link1_target,0
flows_considered,8
aggregate_throughput_mbps,296.823238
dl_throughput_mbps,0.000000
delay_samples_present,1
jitter_samples_present,1
completion_samples_present,1
tx_packets,1011814
rx_packets,1011678
lost_packets,42
delay_samples,1011678
delay_p50_ms,3.000000
delay_p90_ms,7.000000
delay_p95_ms,9.000000
delay_p99_ms,14.000000
delay_p99_9_ms,22.000000
ul_delay_p50_ms,3.000000
ul_delay_p90_ms,7.000000
ul_delay_p95_ms,9.000000
ul_delay_p99_ms,14.000000
ul_delay_p99_9_ms,22.000000
dl_delay_p50_ms,0.000000
dl_delay_p90_ms,0.000000
dl_delay_p95_ms,0.000000
dl_delay_p99_ms,0.000000
dl_delay_p99_9_ms,0.000000
delay_over_10ms_packets,27219
delay_over_20ms_packets,1587
jitter_samples,1011670
jitter_p50_ms,1.000000
jitter_p90_ms,1.000000
jitter_p95_ms,1.000000
jitter_p99_ms,2.000000
jitter_p99_9_ms,7.000000
ul_jitter_p50_ms,1.000000
ul_jitter_p90_ms,1.000000
ul_jitter_p95_ms,1.000000
ul_jitter_p99_ms,2.000000
ul_jitter_p99_9_ms,7.000000
dl_jitter_p50_ms,0.000000
dl_jitter_p90_ms,0.000000
dl_jitter_p95_ms,0.000000
dl_jitter_p99_ms,0.000000
dl_jitter_p99_9_ms,0.000000
flow_completion_p50_ms,29788.046000
flow_completion_p90_ms,29799.972328
flow_completion_p95_ms,29799.972328
flow_completion_p99_ms,29799.972328
flow_completion_p99_9_ms,29799.972328
retrans_ratio_p50,1.000000
retrans_ratio_p90,1.000000
retrans_ratio_p95,1.000000
retrans_ratio_p99,1.000000
retrans_ratio_p99_9,1.000000
vo_mac_tx_data_failed,159121
vo_mac_tx_final_data_failed,178
vo_mac_tx_rts_failed,12286
vo_mac_tx_data_failed_rate,0.157263
vo_mac_tx_final_data_failed_rate,0.000176
vo_mac_tx_rts_failed_rate,0.012143
vo_channel_access_delay_p50_ms,0.185000
vo_channel_access_delay_p90_ms,5.524000
vo_channel_access_delay_p95_ms,120.001000
vo_channel_access_delay_p99_ms,495.064421
vo_channel_access_delay_p99_9_ms,1166.752000
vo_queue_delay_p50_ms,5.121000
vo_queue_delay_p90_ms,16.038000
vo_queue_delay_p95_ms,21.092000
vo_queue_delay_p99_ms,43.736000
vo_queue_delay_p99_9_ms,43.736000
vo_queue_depth_mean_packets,0.001110
vo_queue_depth_max_packets,1
vo_queue_drop_packets,0
vo_queue_drop_before_enqueue_packets,0
vo_queue_expired_drop_packets,0
