value_ms,cdf
1.000000,0.052875
2.000000,0.195814
3.000000,0.369013
4.000000,0.478743
5.000000,0.573045
6.000000,0.641502
7.000000,0.721516
8.000000,0.781122
9.000000,0.832139
10.000000,0.869632
11.000000,0.903799
12.000000,0.930380
13.000000,0.949491
14.000000,0.963186
15.000000,0.973016
16.000000,0.981186
17.000000,0.985789
18.000000,0.988766
19.000000,0.991051
20.000000,0.992977
21.000000,0.994401
22.000000,0.995503
23.000000,0.996641
24.000000,0.997337
25.000000,0.997973
26.000000,0.998388
27.000000,0.998669
28.000000,0.998982
29.000000,0.999233
30.000000,0.999402
31.000000,0.999517
32.000000,0.999633
33.000000,0.999720
34.000000,0.999803
35.000000,0.999844
36.000000,0.999895
37.000000,0.999927
38.000000,0.999967
39.000000,0.999981
44.000000,0.999987
45.000000,0.999997
1019.000000,0.999998
1020.000000,0.999998
1026.000000,0.999999
1133.000000,1.000000
