value_ms,cdf
1.000000,0.988866
2.000000,0.991724
3.000000,0.993908
4.000000,0.995026
5.000000,0.996486
6.000000,0.997312
7.000000,0.997931
8.000000,0.998418
9.000000,0.998824
10.000000,0.999166
11.000000,0.999374
12.000000,0.999535
13.000000,0.999639
14.000000,0.999773
15.000000,0.999825
16.000000,0.999858
17.000000,0.999891
18.000000,0.999920
19.000000,0.999943
20.000000,0.999957
21.000000,0.999964
22.000000,0.999971
23.000000,0.999977
24.000000,0.999981
25.000000,0.999984
26.000000,0.999987
27.000000,0.999989
28.000000,0.999991
30.000000,0.999993
32.000000,0.999994
36.000000,0.999995
38.000000,0.999996
40.000000,0.999997
1018.000000,0.999998
1019.000000,0.999998
1024.000000,0.999999
1130.000000,1.000000
