value_ms,cdf
1.000000,0.988004
2.000000,0.991926
3.000000,0.994977
4.000000,0.996369
5.000000,0.997941
6.000000,0.998574
7.000000,0.999016
8.000000,0.999316
9.000000,0.999483
10.000000,0.999621
11.000000,0.999688
12.000000,0.999762
13.000000,0.999825
14.000000,0.999865
15.000000,0.999891
16.000000,0.999913
17.000000,0.999941
18.000000,0.999951
19.000000,0.999962
20.000000,0.999969
21.000000,0.999974
22.000000,0.999980
23.000000,0.999981
24.000000,0.999985
25.000000,0.999986
26.000000,0.999989
27.000000,0.999992
29.000000,0.999994
30.000000,0.999995
31.000000,0.999996
32.000000,0.999997
38.000000,0.999998
40.000000,0.999999
66.000000,1.000000
