value_ms,cdf
0.025000,0.000319
0.025000,0.000638
0.025000,0.000957
0.025000,0.001276
0.025000,0.001595
0.025000,0.001914
0.025000,0.002233
0.025000,0.002552
0.025000,0.002871
0.025000,0.003190
0.025000,0.003509
0.025000,0.003828
0.025000,0.004147
0.025000,0.004466
0.025000,0.004785
0.025000,0.005104
0.025000,0.005423
0.025000,0.005742
0.025000,0.006061
0.025000,0.006380
0.025000,0.006699
0.025000,0.007018
0.025000,0.007337
0.025000,0.007656
0.025000,0.007974
0.025000,0.008293
0.025000,0.008612
0.025000,0.008931
0.025000,0.009250
0.025000,0.009569
0.025000,0.009888
0.025000,0.010207
0.025000,0.010526
0.025000,0.010845
0.025000,0.011164
0.025000,0.011483
0.025000,0.011802
0.025000,0.012121
0.025000,0.012440
0.025000,0.012759
0.025000,0.013078
0.025000,0.013397
0.025000,0.013716
0.025000,0.014035
0.025000,0.014354
0.025000,0.014673
0.025000,0.014992
0.025000,0.015311
0.025000,0.015630
0.025000,0.015949
0.025000,0.016268
0.025000,0.016587
0.025000,0.016906
0.025000,0.017225
0.025000,0.017544
0.025000,0.017863
0.025000,0.018182
0.025000,0.018501
0.025000,0.018820
0.025000,0.019139
0.025000,0.019458
0.025000,0.019777
0.025000,0.020096
0.025000,0.020415
0.025000,0.020734
0.025000,0.021053
0.025000,0.021372
0.025000,0.021691
0.025000,0.022010
0.025000,0.022329
0.025000,0.022648
0.025000,0.022967
0.025000,0.023285
0.025000,0.023604
0.025000,0.023923
0.025000,0.024242
0.025000,0.024561
0.025000,0.024880
0.025000,0.025199
0.025000,0.025518
0.025000,0.025837
0.025000,0.026156
0.025000,0.026475
0.025000,0.026794
0.025000,0.027113
0.025000,0.027432
0.025000,0.027751
0.025000,0.028070
0.025000,0.028389
0.025000,0.028708
0.025000,0.029027
0.025000,0.029346
0.025000,0.029665
0.025000,0.029984
0.025000,0.030303
0.025000,0.030622
0.025000,0.030941
0.025000,0.031260
0.025000,0.031579
0.025000,0.031898
0.025000,0.032217
0.025000,0.032536
0.025000,0.032855
0.025000,0.033174
0.025000,0.033493
0.025000,0.033812
0.025000,0.034131
0.025000,0.034450
0.025000,0.034769
0.025000,0.035088
0.025000,0.035407
0.025000,0.035726
0.025000,0.036045
0.025000,0.036364
0.025000,0.036683
0.025000,0.037002
0.025000,0.037321
0.025000,0.037640
0.025000,0.037959
0.025000,0.038278
0.025000,0.038596
0.025000,0.038915
0.025000,0.039234
0.025000,0.039553
0.025000,0.039872
0.025000,0.040191
0.025000,0.040510
0.025000,0.040829
0.025000,0.041148
0.025000,0.041467
0.025000,0.041786
0.025000,0.042105
0.025000,0.042424
0.025000,0.042743
0.025000,0.043062
0.025000,0.043381
0.025000,0.043700
0.025000,0.044019
0.025000,0.044338
0.025000,0.044657
0.025000,0.044976
0.025000,0.045295
0.025000,0.045614
0.025000,0.045933
0.025000,0.046252
0.025000,0.046571
0.025000,0.046890
0.025000,0.047209
0.025000,0.047528
0.025000,0.047847
0.025000,0.048166
0.025000,0.048485
0.025000,0.048804
0.025000,0.049123
0.025000,0.049442
0.025000,0.049761
0.025000,0.050080
0.025000,0.050399
0.025000,0.050718
0.025000,0.051037
0.025000,0.051356
0.025000,0.051675
0.025000,0.051994
0.025000,0.052313
0.025000,0.052632
0.025000,0.052951
0.025000,0.053270
0.025000,0.053589
0.025000,0.053907
0.025000,0.054226
0.025000,0.054545
0.025000,0.054864
0.025000,0.055183
0.025000,0.055502
0.025000,0.055821
0.025000,0.056140
0.025000,0.056459
0.025000,0.056778
0.025000,0.057097
0.025000,0.057416
0.025000,0.057735
0.025000,0.058054
0.025000,0.058373
0.025000,0.058692
0.025000,0.059011
0.025000,0.059330
0.025000,0.059649
0.025000,0.059968
0.025000,0.060287
0.025000,0.060606
0.025000,0.060925
0.025000,0.061244
0.025000,0.061563
0.025000,0.061882
0.025000,0.062201
0.025000,0.062520
0.025000,0.062839
0.025000,0.063158
0.025000,0.063477
0.025000,0.063796
0.025000,0.064115
0.025000,0.064434
0.025000,0.064753
0.025000,0.065072
0.025000,0.065391
0.025000,0.065710
0.025000,0.066029
0.025000,0.066348
0.025000,0.066667
0.025000,0.066986
0.025000,0.067305
0.025000,0.067624
0.025000,0.067943
0.025000,0.068262
0.025000,0.068581
0.025000,0.068900
0.025000,0.069219
0.025000,0.069537
0.025000,0.069856
0.025000,0.070175
0.025000,0.070494
0.025000,0.070813
0.025000,0.071132
0.025000,0.071451
0.025000,0.071770
0.025000,0.072089
0.025000,0.072408
0.025000,0.072727
0.025000,0.073046
0.025000,0.073365
0.025000,0.073684
0.025000,0.074003
0.025000,0.074322
0.025000,0.074641
0.025000,0.074960
0.025000,0.075279
0.025000,0.075598
0.025000,0.075917
0.025000,0.076236
0.025000,0.076555
0.025000,0.076874
0.025000,0.077193
0.025000,0.077512
0.025000,0.077831
0.025000,0.078150
0.025000,0.078469
0.025000,0.078788
0.025000,0.079107
0.025000,0.079426
0.025000,0.079745
0.025000,0.080064
0.025000,0.080383
0.025000,0.080702
0.025000,0.081021
0.025000,0.081340
0.025000,0.081659
0.025000,0.081978
0.025000,0.082297
0.025000,0.082616
0.025000,0.082935
0.025000,0.083254
0.025000,0.083573
0.025000,0.083892
0.025000,0.084211
0.025000,0.084530
0.025000,0.084848
0.025000,0.085167
0.025000,0.085486
0.025000,0.085805
0.025000,0.086124
0.025000,0.086443
0.025000,0.086762
0.025000,0.087081
0.025000,0.087400
0.025000,0.087719
0.025000,0.088038
0.025000,0.088357
0.025000,0.088676
0.025000,0.088995
0.025000,0.089314
0.025000,0.089633
0.025000,0.089952
0.025000,0.090271
0.025000,0.090590
0.025000,0.090909
0.025000,0.091228
0.025000,0.091547
0.025000,0.091866
0.025000,0.092185
0.025000,0.092504
0.025000,0.092823
0.025000,0.093142
0.025000,0.093461
0.025000,0.093780
0.025000,0.094099
0.025000,0.094418
0.025000,0.094737
0.025000,0.095056
0.025000,0.095375
0.025000,0.095694
0.025000,0.096013
0.025000,0.096332
0.025000,0.096651
0.025000,0.096970
0.025000,0.097289
0.025000,0.097608
0.025000,0.097927
0.025000,0.098246
0.025000,0.098565
0.025000,0.098884
0.025000,0.099203
0.025000,0.099522
0.025000,0.099841
0.025000,0.100159
0.025000,0.100478
0.025000,0.100797
0.025000,0.101116
0.025000,0.101435
0.025000,0.101754
0.025000,0.102073
0.025000,0.102392
0.025000,0.102711
0.025000,0.103030
0.025000,0.103349
0.025000,0.103668
0.025000,0.103987
0.025000,0.104306
0.025000,0.104625
0.025000,0.104944
0.025000,0.105263
0.025000,0.105582
0.025000,0.105901
0.025000,0.106220
0.025000,0.106539
0.025000,0.106858
0.025000,0.107177
0.025000,0.107496
0.025000,0.107815
0.025000,0.108134
0.025000,0.108453
0.025000,0.108772
0.025000,0.109091
0.025000,0.109410
0.025000,0.109729
0.025000,0.110048
0.025000,0.110367
0.025000,0.110686
0.025000,0.111005
0.025000,0.111324
0.025000,0.111643
0.025000,0.111962
0.025000,0.112281
0.025000,0.112600
0.025000,0.112919
0.025000,0.113238
0.025000,0.113557
0.025000,0.113876
0.025000,0.114195
0.025000,0.114514
0.025000,0.114833
0.025000,0.115152
0.025000,0.115470
0.025000,0.115789
0.025000,0.116108
0.025000,0.116427
0.025000,0.116746
0.025000,0.117065
0.025000,0.117384
0.025000,0.117703
0.025000,0.118022
0.025000,0.118341
0.025000,0.118660
0.025000,0.118979
0.025000,0.119298
0.025000,0.119617
0.025000,0.119936
0.025000,0.120255
0.025000,0.120574
0.025000,0.120893
0.025000,0.121212
0.025000,0.121531
0.025000,0.121850
0.025000,0.122169
0.025000,0.122488
0.025000,0.122807
0.025000,0.123126
0.025000,0.123445
0.025000,0.123764
0.025000,0.124083
0.025000,0.124402
0.025000,0.124721
0.025000,0.125040
0.025000,0.125359
0.025000,0.125678
0.025000,0.125997
0.025000,0.126316
0.025000,0.126635
0.025000,0.126954
0.025000,0.127273
0.025000,0.127592
0.025000,0.127911
0.025000,0.128230
0.025000,0.128549
0.025000,0.128868
0.025000,0.129187
0.025000,0.129506
0.025000,0.129825
0.025000,0.130144
0.025000,0.130463
0.025000,0.130781
0.025000,0.131100
0.025000,0.131419
0.025000,0.131738
0.025000,0.132057
0.025000,0.132376
0.025000,0.132695
0.025000,0.133014
0.025000,0.133333
0.025000,0.133652
0.025000,0.133971
0.025000,0.134290
0.025000,0.134609
0.025000,0.134928
0.025000,0.135247
0.025000,0.135566
0.025000,0.135885
0.025000,0.136204
0.025000,0.136523
0.025000,0.136842
0.025000,0.137161
0.025000,0.137480
0.025000,0.137799
0.025000,0.138118
0.025000,0.138437
0.025000,0.138756
0.025000,0.139075
0.025000,0.139394
0.025000,0.139713
0.025000,0.140032
0.025000,0.140351
0.025000,0.140670
0.025000,0.140989
0.025000,0.141308
0.025000,0.141627
0.025000,0.141946
0.025000,0.142265
0.025000,0.142584
0.025000,0.142903
0.025000,0.143222
0.025000,0.143541
0.025000,0.143860
0.025000,0.144179
0.025000,0.144498
0.025000,0.144817
0.025000,0.145136
0.025000,0.145455
0.025000,0.145774
0.025000,0.146093
0.025000,0.146411
0.025000,0.146730
0.025000,0.147049
0.025000,0.147368
0.025000,0.147687
0.025000,0.148006
0.025000,0.148325
0.025000,0.148644
0.025000,0.148963
0.025000,0.149282
0.025000,0.149601
0.025000,0.149920
0.025000,0.150239
0.025000,0.150558
0.025000,0.150877
0.025000,0.151196
0.025000,0.151515
0.025000,0.151834
0.025000,0.152153
0.025000,0.152472
0.025000,0.152791
0.025000,0.153110
0.025000,0.153429
0.025000,0.153748
0.025000,0.154067
0.025000,0.154386
0.025000,0.154705
0.025000,0.155024
0.025000,0.155343
0.025000,0.155662
0.025000,0.155981
0.025000,0.156300
0.025000,0.156619
0.025000,0.156938
0.025000,0.157257
0.025000,0.157576
0.025000,0.157895
0.025000,0.158214
0.025000,0.158533
0.025000,0.158852
0.025000,0.159171
0.025000,0.159490
0.025000,0.159809
0.025000,0.160128
0.025000,0.160447
0.025000,0.160766
0.025000,0.161085
0.025000,0.161404
0.025000,0.161722
0.025000,0.162041
0.025000,0.162360
0.025000,0.162679
0.025000,0.162998
0.025000,0.163317
0.025000,0.163636
0.025000,0.163955
0.025000,0.164274
0.025000,0.164593
0.025000,0.164912
0.025000,0.165231
0.025000,0.165550
0.025000,0.165869
0.025000,0.166188
0.025000,0.166507
0.025000,0.166826
0.025000,0.167145
0.025000,0.167464
0.025000,0.167783
0.025000,0.168102
0.025000,0.168421
0.025000,0.168740
0.025000,0.169059
0.025000,0.169378
0.025000,0.169697
