value_ms,cdf
1.000000,0.116399
2.000000,0.373225
3.000000,0.635978
4.000000,0.752576
5.000000,0.842985
6.000000,0.892199
7.000000,0.931618
8.000000,0.953166
9.000000,0.967188
10.000000,0.976599
11.000000,0.982541
12.000000,0.986400
13.000000,0.989507
14.000000,0.992166
15.000000,0.994068
16.000000,0.995710
17.000000,0.997124
18.000000,0.997989
19.000000,0.998411
20.000000,0.998756
21.000000,0.999043
22.000000,0.999371
23.000000,0.999832
24.000000,0.999911
25.000000,0.999920
26.000000,0.999931
27.000000,0.999996
31.000000,0.999997
39.000000,0.999998
45.000000,0.999999
47.000000,1.000000
