metric,value
pedca_enabled,1
split_stas_across_links,0
distribute_pedca_across_links,0
enable_ul,1
enable_dl,0
stas_link0_target,30
stas_link1_target,0
flows_considered,8
aggregate_throughput_mbps,313.576977
dl_throughput_mbps,0.000000
delay_samples_present,1
jitter_samples_present,1
completion_samples_present,1
tx_packets,1069150
rx_packets,1068974
lost_packets,70
delay_samples,1068974
delay_p50_ms,3.000000
delay_p90_ms,7.000000
delay_p95_ms,8.000000
delay_p99_ms,14.000000
delay_p99_9_ms,21.000000
ul_delay_p50_ms,3.000000
ul_delay_p90_ms,7.000000
ul_delay_p95_ms,8.000000
ul_delay_p99_ms,14.000000
ul_delay_p99_9_ms,21.000000
dl_delay_p50_ms,0.000000
dl_delay_p90_ms,0.000000
dl_delay_p95_ms,0.000000
dl_delay_p99_ms,0.000000
dl_delay_p99_9_ms,0.000000
delay_over_10ms_packets,25015
delay_over_20ms_packets,1330
jitter_samples,1068966
jitter_p50_ms,1.000000
jitter_p90_ms,1.000000
jitter_p95_ms,1.000000
jitter_p99_ms,2.000000
jitter_p99_9_ms,7.000000
ul_jitter_p50_ms,1.000000
ul_jitter_p90_ms,1.000000
ul_jitter_p95_ms,1.000000
ul_jitter_p99_ms,2.000000
ul_jitter_p99_9_ms,7.000000
dl_jitter_p50_ms,0.000000
dl_jitter_p90_ms,0.000000
dl_jitter_p95_ms,0.000000
dl_jitter_p99_ms,0.000000
dl_jitter_p99_9_ms,0.000000
flow_completion_p50_ms,29787.610579
flow_completion_p90_ms,29799.560000
flow_completion_p95_ms,29799.560000
flow_completion_p99_ms,29799.560000
flow_completion_p99_9_ms,29799.560000
retrans_ratio_p50,1.000000
retrans_ratio_p90,1.000000
retrans_ratio_p95,1.000000
retrans_ratio_p99,1.000000
retrans_ratio_p99_9,1.000000
vo_mac_tx_data_failed,127253
vo_mac_tx_final_data_failed,163
vo_mac_tx_rts_failed,10805
vo_mac_tx_data_failed_rate,0.119023
vo_mac_tx_final_data_failed_rate,0.000152
vo_mac_tx_rts_failed_rate,0.010106
vo_channel_access_delay_p50_ms,0.070000
vo_channel_access_delay_p90_ms,3.978000
vo_channel_access_delay_p95_ms,6.024000
vo_channel_access_delay_p99_ms,120.001000
vo_channel_access_delay_p99_9_ms,501.453000
vo_queue_delay_p50_ms,8.228000
vo_queue_delay_p90_ms,17.678579
vo_queue_delay_p95_ms,23.135421
vo_queue_delay_p99_ms,27.976000
vo_queue_delay_p99_9_ms,32.357000
vo_queue_depth_mean_packets,0.003553
vo_queue_depth_max_packets,2
vo_queue_drop_packets,0
vo_queue_drop_before_enqueue_packets,0
vo_queue_expired_drop_packets,0
