metric,value
pedca_enabled,1
split_stas_across_links,0
distribute_pedca_across_links,1
stas_link0_target,20
stas_link1_target,0
flows_considered,4
aggregate_throughput_mbps,362.192960
delay_samples_present,1
jitter_samples_present,1
completion_samples_present,1
tx_packets,74436
rx_packets,74395
lost_packets,0
delay_samples,74395
delay_p50_ms,3.000000
delay_p90_ms,5.000000
delay_p95_ms,6.000000
delay_p99_ms,8.000000
delay_p99_9_ms,10.000000
delay_over_10ms_packets,45
delay_over_20ms_packets,0
jitter_samples,74391
jitter_p50_ms,1.000000
jitter_p90_ms,1.000000
jitter_p95_ms,1.000000
jitter_p99_ms,1.000000
jitter_p99_9_ms,5.000000
flow_completion_p50_ms,1793.382000
flow_completion_p90_ms,1799.970533
flow_completion_p95_ms,1799.970533
flow_completion_p99_ms,1799.970533
flow_completion_p99_9_ms,1799.970533
retrans_ratio_p50,1.000000
retrans_ratio_p90,1.000000
retrans_ratio_p95,1.000000
retrans_ratio_p99,1.000000
retrans_ratio_p99_9,1.000000
vo_mac_tx_data_failed,72
vo_mac_tx_final_data_failed,14
vo_mac_tx_rts_failed,753
vo_mac_tx_data_failed_rate,0.000967
vo_mac_tx_final_data_failed_rate,0.000188
vo_mac_tx_rts_failed_rate,0.010116
vo_channel_access_delay_p50_ms,1.896000
vo_channel_access_delay_p90_ms,12.589000
vo_channel_access_delay_p95_ms,120.001000
vo_channel_access_delay_p99_ms,489.189000
vo_channel_access_delay_p99_9_ms,497.121000
vo_queue_delay_p50_ms,10.750000
vo_queue_delay_p90_ms,20.389000
vo_queue_delay_p95_ms,24.154000
vo_queue_delay_p99_ms,30.187000
vo_queue_delay_p99_9_ms,30.187000
vo_queue_depth_mean_packets,0.015877
vo_queue_depth_max_packets,1
vo_queue_drop_packets,0
vo_queue_drop_before_enqueue_packets,0
vo_queue_expired_drop_packets,0
