metric,value
pedca_enabled,1
split_stas_across_links,0
distribute_pedca_across_links,0
stas_link0_target,30
stas_link1_target,0
flows_considered,3
aggregate_throughput_mbps,359.748529
delay_samples_present,1
jitter_samples_present,1
completion_samples_present,1
tx_packets,53596
rx_packets,53361
lost_packets,0
delay_samples,53361
delay_p50_ms,3.000000
delay_p90_ms,5.000000
delay_p95_ms,5.000000
delay_p99_ms,8.000000
delay_p99_9_ms,11.000000
delay_over_10ms_packets,74
delay_over_20ms_packets,0
jitter_samples,53358
jitter_p50_ms,1.000000
jitter_p90_ms,1.000000
jitter_p95_ms,1.000000
jitter_p99_ms,1.000000
jitter_p99_9_ms,5.000000
flow_completion_p50_ms,1297.991000
flow_completion_p90_ms,1299.972787
flow_completion_p95_ms,1299.972787
flow_completion_p99_ms,1299.972787
flow_completion_p99_9_ms,1299.972787
retrans_ratio_p50,1.000000
retrans_ratio_p90,1.000000
retrans_ratio_p95,1.000000
retrans_ratio_p99,1.000000
retrans_ratio_p99_9,1.000000
vo_mac_tx_data_failed,56
vo_mac_tx_final_data_failed,6
vo_mac_tx_rts_failed,633
vo_mac_tx_data_failed_rate,0.001045
vo_mac_tx_final_data_failed_rate,0.000112
vo_mac_tx_rts_failed_rate,0.011811
vo_channel_access_delay_p50_ms,0.830000
vo_channel_access_delay_p90_ms,6.546000
vo_channel_access_delay_p95_ms,120.001000
vo_channel_access_delay_p99_ms,120.001000
vo_channel_access_delay_p99_9_ms,120.001000
vo_queue_delay_p50_ms,13.049000
vo_queue_delay_p90_ms,23.782000
vo_queue_delay_p95_ms,25.341400
vo_queue_delay_p99_ms,26.885000
vo_queue_delay_p99_9_ms,26.885000
vo_queue_depth_mean_packets,0.016295
vo_queue_depth_max_packets,1
vo_queue_drop_packets,0
vo_queue_drop_before_enqueue_packets,0
vo_queue_expired_drop_packets,0
