mode,nstas,throughput_mbps,delay_p95_ms,delay_p99_ms,jitter_p95_ms,jitter_p99_ms,vo_rts_failed_rate,vo_data_failed_rate,queue_delay_p95_ms,queue_delay_p99_ms
dist,6,370.630800,5.000000,7.000000,1.000000,1.000000,0.002121,0.000000,7.648000,7.648000
anylink,6,370.630800,5.000000,7.000000,1.000000,1.000000,0.002121,0.000000,7.648000,7.648000
dist,10,266.715280,9.000000,13.000000,1.000000,3.000000,0.006115,0.301404,20.163000,20.163000
anylink,10,260.756480,10.000000,12.000000,1.000000,3.000000,0.005096,0.305957,17.242000,17.242000
dist,14,394.192197,3.000000,3.000000,1.000000,1.000000,0.003452,0.000718,19.713000,20.316000
anylink,14,358.053415,5.000000,7.000000,1.000000,1.000000,0.006200,0.000716,16.974000,19.597000
dist,20,362.192960,6.000000,8.000000,1.000000,1.000000,0.010116,0.000967,24.154000,30.187000
anylink,20,359.719822,5.000000,8.000000,1.000000,1.000000,0.011061,0.000878,22.883000,32.578000
dist,30,361.688178,5.000000,7.000000,1.000000,1.000000,0.010560,0.000793,22.467000,24.462000
anylink,30,359.748529,5.000000,8.000000,1.000000,1.000000,0.011811,0.001045,25.341400,26.885000
