value_ms,cdf
0.018000,0.015385
0.018000,0.030769
0.018000,0.046154
0.025000,0.061538
0.025000,0.076923
0.025000,0.092308
0.025000,0.107692
0.025000,0.123077
0.025000,0.138462
0.025000,0.153846
0.025000,0.169231
0.025000,0.184615
0.025000,0.200000
0.025000,0.215385
0.025000,0.230769
0.025000,0.246154
0.025000,0.261538
0.025000,0.276923
0.025000,0.292308
0.025000,0.307692
0.034000,0.323077
0.034000,0.338462
0.043000,0.353846
0.043000,0.369231
0.043000,0.384615
0.043000,0.400000
0.052000,0.415385
0.052000,0.430769
0.052000,0.446154
0.061000,0.461538
0.061000,0.476923
0.070000,0.492308
0.070000,0.507692
0.070000,0.523077
0.079000,0.538462
0.079000,0.553846
0.079000,0.569231
0.079000,0.584615
0.088000,0.600000
0.088000,0.615385
0.088000,0.630769
0.088000,0.646154
0.088000,0.661538
0.088000,0.676923
0.088000,0.692308
0.097000,0.707692
0.097000,0.723077
0.097000,0.738462
0.097000,0.753846
0.110000,0.769231
0.612000,0.784615
0.629000,0.800000
0.654000,0.815385
0.844000,0.830769
1.136000,0.846154
1.145000,0.861538
1.263000,0.876923
2.929000,0.892308
4.539000,0.907692
4.539000,0.923077
4.775000,0.938462
120.646000,0.953846
481.804000,0.969231
484.965000,0.984615
1152.700000,1.000000
