value_ms,cdf
0.018000,0.013514
0.018000,0.027027
0.018000,0.040541
0.025000,0.054054
0.025000,0.067568
0.025000,0.081081
0.025000,0.094595
0.025000,0.108108
0.025000,0.121622
0.025000,0.135135
0.025000,0.148649
0.025000,0.162162
0.025000,0.175676
0.025000,0.189189
0.025000,0.202703
0.025000,0.216216
0.025000,0.229730
0.025000,0.243243
0.025000,0.256757
0.025000,0.270270
0.027000,0.283784
0.034000,0.297297
0.034000,0.310811
0.034000,0.324324
0.034000,0.337838
0.036000,0.351351
0.043000,0.364865
0.043000,0.378378
0.043000,0.391892
0.043000,0.405405
0.043000,0.418919
0.052000,0.432432
0.052000,0.445946
0.052000,0.459459
0.052000,0.472973
0.052000,0.486486
0.061000,0.500000
0.061000,0.513514
0.070000,0.527027
0.070000,0.540541
0.070000,0.554054
0.079000,0.567568
0.079000,0.581081
0.079000,0.594595
0.088000,0.608108
0.088000,0.621622
0.088000,0.635135
0.088000,0.648649
0.088000,0.662162
0.088000,0.675676
0.097000,0.689189
0.097000,0.702703
0.097000,0.716216
0.097000,0.729730
0.130000,0.743243
0.531000,0.756757
0.549000,0.770270
0.581000,0.783784
0.594000,0.797297
0.612000,0.810811
0.687000,0.824324
0.991000,0.837838
1.263000,0.851351
1.750000,0.864865
2.104000,0.878378
2.518000,0.891892
2.753000,0.905405
2.990000,0.918919
3.625000,0.932432
4.580000,0.945946
120.646000,0.959459
478.206000,0.972973
489.609000,0.986486
1146.137000,1.000000
