value_ms,cdf
0.025000,0.012500
0.025000,0.025000
0.025000,0.037500
0.025000,0.050000
0.025000,0.062500
0.034000,0.075000
0.034000,0.087500
0.034000,0.100000
0.034000,0.112500
0.034000,0.125000
0.043000,0.137500
0.061000,0.150000
0.112000,0.162500
0.124000,0.175000
0.240000,0.187500
0.420000,0.200000
0.522000,0.212500
0.540000,0.225000
0.540000,0.237500
0.549000,0.250000
0.576000,0.262500
0.578000,0.275000
0.663000,0.287500
0.663600,0.300000
0.670000,0.312500
0.712000,0.325000
0.789000,0.337500
0.851000,0.350000
0.851000,0.362500
0.851000,0.375000
0.859000,0.387500
0.859000,0.400000
1.215000,0.412500
1.218000,0.425000
1.301000,0.437500
1.308000,0.450000
1.317000,0.462500
1.393000,0.475000
1.393000,0.487500
1.425000,0.500000
1.451000,0.512500
1.577000,0.525000
1.633000,0.537500
1.668000,0.550000
1.771000,0.562500
2.062000,0.575000
2.103000,0.587500
2.181000,0.600000
2.308000,0.612500
2.386000,0.625000
2.386000,0.637500
2.604000,0.650000
2.715000,0.662500
2.850000,0.675000
2.850000,0.687500
2.917000,0.700000
3.427000,0.712500
3.468000,0.725000
3.468000,0.737500
3.468000,0.750000
3.824000,0.762500
4.110000,0.775000
4.481000,0.787500
4.490000,0.800000
4.853000,0.812500
5.194000,0.825000
5.205000,0.837500
5.667000,0.850000
6.675000,0.862500
7.451000,0.875000
120.001000,0.887500
120.001000,0.900000
120.001000,0.912500
120.001000,0.925000
120.001000,0.937500
120.001000,0.950000
120.001000,0.962500
120.001000,0.975000
120.001000,0.987500
120.001000,1.000000
