value_ms,cdf
1.000000,0.988115
2.000000,0.991906
3.000000,0.994702
4.000000,0.996123
5.000000,0.997820
6.000000,0.998426
7.000000,0.998931
8.000000,0.999238
9.000000,0.999442
10.000000,0.999587
11.000000,0.999682
12.000000,0.999754
13.000000,0.999801
14.000000,0.999841
15.000000,0.999873
16.000000,0.999903
17.000000,0.999926
18.000000,0.999945
19.000000,0.999957
20.000000,0.999968
21.000000,0.999975
22.000000,0.999981
23.000000,0.999986
24.000000,0.999989
25.000000,0.999992
26.000000,0.999994
27.000000,0.999996
28.000000,0.999998
29.000000,0.999999
30.000000,0.999999
31.000000,1.000000
42.000000,1.000000
