value_ms,cdf
1.000000,0.988530
2.000000,0.991609
3.000000,0.993868
4.000000,0.994989
5.000000,0.996436
6.000000,0.997216
7.000000,0.997821
8.000000,0.998257
9.000000,0.998648
10.000000,0.998966
11.000000,0.999187
12.000000,0.999348
13.000000,0.999456
14.000000,0.999569
15.000000,0.999627
16.000000,0.999679
17.000000,0.999722
18.000000,0.999761
19.000000,0.999784
20.000000,0.999808
21.000000,0.999835
22.000000,0.999853
23.000000,0.999870
24.000000,0.999890
25.000000,0.999908
26.000000,0.999919
27.000000,0.999929
28.000000,0.999939
29.000000,0.999945
30.000000,0.999949
31.000000,0.999956
32.000000,0.999960
33.000000,0.999967
34.000000,0.999970
35.000000,0.999973
36.000000,0.999976
37.000000,0.999979
38.000000,0.999981
39.000000,0.999984
40.000000,0.999986
42.000000,0.999987
44.000000,0.999988
46.000000,0.999988
47.000000,0.999991
48.000000,0.999993
50.000000,0.999993
58.000000,0.999994
1011.000000,0.999995
1024.000000,0.999996
1025.000000,0.999997
1030.000000,0.999998
1037.000000,0.999998
1053.000000,0.999999
2041.000000,1.000000
