metric,value
pedca_enabled,1
split_stas_across_links,0
distribute_pedca_across_links,0
enable_ul,0
enable_dl,1
stas_link0_target,20
stas_link1_target,0
flows_considered,9
aggregate_throughput_mbps,0.000000
dl_throughput_mbps,359.055223
delay_samples_present,1
jitter_samples_present,1
completion_samples_present,1
tx_packets,1217214
rx_packets,1217029
lost_packets,35
delay_samples,1217029
delay_p50_ms,4.000000
delay_p90_ms,12.000000
delay_p95_ms,15.000000
delay_p99_ms,30.000000
delay_p99_9_ms,48.000000
ul_delay_p50_ms,0.000000
ul_delay_p90_ms,0.000000
ul_delay_p95_ms,0.000000
ul_delay_p99_ms,0.000000
ul_delay_p99_9_ms,0.000000
dl_delay_p50_ms,4.000000
dl_delay_p90_ms,12.000000
dl_delay_p95_ms,15.000000
dl_delay_p99_ms,30.000000
dl_delay_p99_9_ms,48.000000
delay_over_10ms_packets,163040
delay_over_20ms_packets,28269
jitter_samples,1217020
jitter_p50_ms,1.000000
jitter_p90_ms,1.000000
jitter_p95_ms,1.000000
jitter_p99_ms,2.000000
jitter_p99_9_ms,11.000000
ul_jitter_p50_ms,0.000000
ul_jitter_p90_ms,0.000000
ul_jitter_p95_ms,0.000000
ul_jitter_p99_ms,0.000000
ul_jitter_p99_9_ms,0.000000
dl_jitter_p50_ms,1.000000
dl_jitter_p90_ms,1.000000
dl_jitter_p95_ms,1.000000
dl_jitter_p99_ms,2.000000
dl_jitter_p99_9_ms,11.000000
flow_completion_p50_ms,29792.896000
flow_completion_p90_ms,29799.970645
flow_completion_p95_ms,29799.970645
flow_completion_p99_ms,29799.970645
flow_completion_p99_9_ms,29799.970645
retrans_ratio_p50,1.000000
retrans_ratio_p90,1.000000
retrans_ratio_p95,1.000000
retrans_ratio_p99,1.000000
retrans_ratio_p99_9,1.000000
vo_mac_tx_data_failed,3888
vo_mac_tx_final_data_failed,69
vo_mac_tx_rts_failed,8956
vo_mac_tx_data_failed_rate,0.003194
vo_mac_tx_final_data_failed_rate,0.000057
vo_mac_tx_rts_failed_rate,0.007358
vo_channel_access_delay_p50_ms,0.163000
vo_channel_access_delay_p90_ms,6.391000
vo_channel_access_delay_p95_ms,10.303000
vo_channel_access_delay_p99_ms,120.001000
vo_channel_access_delay_p99_9_ms,1144.019000
vo_queue_delay_p50_ms,14.659000
vo_queue_delay_p90_ms,30.167400
vo_queue_delay_p95_ms,36.923579
vo_queue_delay_p99_ms,466.650400
vo_queue_delay_p99_9_ms,466.650400
vo_queue_depth_mean_packets,0.006123
vo_queue_depth_max_packets,2
vo_queue_drop_packets,0
vo_queue_drop_before_enqueue_packets,0
vo_queue_expired_drop_packets,0
