value_ms,cdf
1.000000,0.129223
2.000000,0.424481
3.000000,0.677392
4.000000,0.775012
5.000000,0.854206
6.000000,0.900882
7.000000,0.936719
8.000000,0.957080
9.000000,0.968784
10.000000,0.976188
11.000000,0.982395
12.000000,0.986635
13.000000,0.989747
14.000000,0.992295
15.000000,0.994107
16.000000,0.995467
17.000000,0.996682
18.000000,0.997642
19.000000,0.998197
20.000000,0.998597
21.000000,0.999040
22.000000,0.999344
23.000000,0.999536
24.000000,0.999656
25.000000,0.999755
26.000000,0.999856
27.000000,0.999944
28.000000,0.999980
29.000000,0.999993
30.000000,1.000000
