value_ms,cdf
1.000000,0.988480
2.000000,0.992645
3.000000,0.995693
4.000000,0.996868
5.000000,0.998174
6.000000,0.998721
7.000000,0.999144
8.000000,0.999379
9.000000,0.999541
10.000000,0.999648
11.000000,0.999732
12.000000,0.999791
13.000000,0.999833
14.000000,0.999868
15.000000,0.999901
16.000000,0.999914
17.000000,0.999934
18.000000,0.999952
19.000000,0.999961
20.000000,0.999964
21.000000,0.999974
22.000000,0.999982
23.000000,0.999988
24.000000,0.999992
25.000000,0.999994
26.000000,0.999996
27.000000,0.999997
28.000000,0.999998
29.000000,0.999999
30.000000,1.000000
