value_ms,cdf
1.000000,0.063464
2.000000,0.239258
3.000000,0.428670
4.000000,0.552748
5.000000,0.649143
6.000000,0.717587
7.000000,0.796790
8.000000,0.851262
9.000000,0.893250
10.000000,0.920546
11.000000,0.944133
12.000000,0.960776
13.000000,0.973689
14.000000,0.981222
15.000000,0.987482
16.000000,0.991098
17.000000,0.993266
18.000000,0.994495
19.000000,0.995495
20.000000,0.995918
21.000000,0.996132
22.000000,0.996540
23.000000,0.996792
24.000000,0.997073
25.000000,0.997371
26.000000,0.997610
27.000000,0.997754
28.000000,0.997871
29.000000,0.998015
30.000000,0.998062
31.000000,0.998073
32.000000,0.998102
33.000000,0.998108
34.000000,0.998160
35.000000,0.998162
36.000000,0.998169
312.000000,0.998171
313.000000,0.998172
388.000000,0.998198
389.000000,0.998234
390.000000,0.998262
391.000000,0.998263
395.000000,0.998273
445.000000,0.998274
446.000000,0.998292
449.000000,0.998293
450.000000,0.998329
451.000000,0.998358
452.000000,0.998374
462.000000,0.998397
463.000000,0.998451
464.000000,0.998460
467.000000,0.998475
477.000000,0.998476
480.000000,0.998480
481.000000,0.998488
483.000000,0.998524
484.000000,0.998557
485.000000,0.998578
486.000000,0.998634
489.000000,0.998652
491.000000,0.998663
492.000000,0.998708
493.000000,0.998729
494.000000,0.998788
495.000000,0.999003
496.000000,0.999169
497.000000,0.999269
498.000000,0.999324
499.000000,0.999491
500.000000,0.999711
501.000000,0.999944
502.000000,0.999995
503.000000,0.999997
504.000000,0.999997
1019.000000,0.999998
1046.000000,0.999999
2033.000000,1.000000
