value_ms,cdf
1.000000,0.989594
2.000000,0.992191
3.000000,0.994460
4.000000,0.995589
5.000000,0.997094
6.000000,0.997868
7.000000,0.998460
8.000000,0.998820
9.000000,0.999154
10.000000,0.999450
11.000000,0.999620
12.000000,0.999716
13.000000,0.999800
14.000000,0.999861
15.000000,0.999888
16.000000,0.999904
17.000000,0.999917
18.000000,0.999930
19.000000,0.999941
20.000000,0.999945
21.000000,0.999948
22.000000,0.999950
23.000000,0.999953
24.000000,0.999957
25.000000,0.999959
26.000000,0.999960
27.000000,0.999961
28.000000,0.999962
29.000000,0.999964
188.000000,0.999965
192.000000,0.999965
300.000000,0.999966
311.000000,0.999967
375.000000,0.999968
395.000000,0.999969
442.000000,0.999970
446.000000,0.999971
457.000000,0.999971
464.000000,0.999972
467.000000,0.999973
473.000000,0.999974
480.000000,0.999975
482.000000,0.999976
483.000000,0.999977
486.000000,0.999978
488.000000,0.999979
489.000000,0.999981
491.000000,0.999983
492.000000,0.999986
493.000000,0.999987
494.000000,0.999987
495.000000,0.999988
497.000000,0.999992
498.000000,0.999994
500.000000,0.999996
501.000000,0.999997
502.000000,0.999997
992.000000,0.999998
1011.000000,0.999999
2033.000000,1.000000
