metric,value
pedca_enabled,1
split_stas_across_links,0
distribute_pedca_across_links,1
enable_ul,0
enable_dl,1
stas_link0_target,30
stas_link1_target,0
flows_considered,7
aggregate_throughput_mbps,0.000000
dl_throughput_mbps,351.480485
delay_samples_present,1
jitter_samples_present,1
completion_samples_present,1
tx_packets,1188579
rx_packets,1188098
lost_packets,410
delay_samples,1188098
delay_p50_ms,4.000000
delay_p90_ms,10.000000
delay_p95_ms,12.000000
delay_p99_ms,16.000000
delay_p99_9_ms,495.000000
ul_delay_p50_ms,0.000000
ul_delay_p90_ms,0.000000
ul_delay_p95_ms,0.000000
ul_delay_p99_ms,0.000000
ul_delay_p99_9_ms,0.000000
dl_delay_p50_ms,4.000000
dl_delay_p90_ms,10.000000
dl_delay_p95_ms,12.000000
dl_delay_p99_ms,16.000000
dl_delay_p99_9_ms,495.000000
delay_over_10ms_packets,94399
delay_over_20ms_packets,4850
jitter_samples,1188091
jitter_p50_ms,1.000000
jitter_p90_ms,1.000000
jitter_p95_ms,1.000000
jitter_p99_ms,2.000000
jitter_p99_9_ms,9.000000
ul_jitter_p50_ms,0.000000
ul_jitter_p90_ms,0.000000
ul_jitter_p95_ms,0.000000
ul_jitter_p99_ms,0.000000
ul_jitter_p99_9_ms,0.000000
dl_jitter_p50_ms,1.000000
dl_jitter_p90_ms,1.000000
dl_jitter_p95_ms,1.000000
dl_jitter_p99_ms,2.000000
dl_jitter_p99_9_ms,9.000000
flow_completion_p50_ms,29793.466000
flow_completion_p90_ms,29799.988120
flow_completion_p95_ms,29799.988120
flow_completion_p99_ms,29799.988120
flow_completion_p99_9_ms,29799.988120
retrans_ratio_p50,1.000000
retrans_ratio_p90,1.000000
retrans_ratio_p95,1.000000
retrans_ratio_p99,1.000000
retrans_ratio_p99_9,1.000000
vo_mac_tx_data_failed,4019
vo_mac_tx_final_data_failed,69
vo_mac_tx_rts_failed,9151
vo_mac_tx_data_failed_rate,0.003381
vo_mac_tx_final_data_failed_rate,0.000058
vo_mac_tx_rts_failed_rate,0.007699
vo_channel_access_delay_p50_ms,0.815000
vo_channel_access_delay_p90_ms,12.419000
vo_channel_access_delay_p95_ms,17.622000
vo_channel_access_delay_p99_ms,120.001000
vo_channel_access_delay_p99_9_ms,1135.859600
vo_queue_delay_p50_ms,29.599000
vo_queue_delay_p90_ms,61.995979
vo_queue_delay_p95_ms,77.186579
vo_queue_delay_p99_ms,460.667000
vo_queue_delay_p99_9_ms,463.178400
vo_queue_depth_mean_packets,0.015642
vo_queue_depth_max_packets,2
vo_queue_drop_packets,0
vo_queue_drop_before_enqueue_packets,0
vo_queue_expired_drop_packets,0
