value_ms,cdf
1.000000,0.112992
2.000000,0.366710
3.000000,0.620301
4.000000,0.734205
5.000000,0.825476
6.000000,0.881304
7.000000,0.924280
8.000000,0.949444
9.000000,0.965071
10.000000,0.975132
11.000000,0.981361
12.000000,0.985916
13.000000,0.989318
14.000000,0.991470
15.000000,0.993337
16.000000,0.994920
17.000000,0.996165
18.000000,0.997124
19.000000,0.998031
20.000000,0.998452
21.000000,0.998905
22.000000,0.999152
23.000000,0.999375
24.000000,0.999503
25.000000,0.999607
26.000000,0.999743
27.000000,0.999842
28.000000,0.999854
31.000000,0.999860
32.000000,0.999861
33.000000,0.999867
35.000000,0.999872
36.000000,0.999935
38.000000,0.999998
41.000000,0.999999
66.000000,1.000000
