metric,value
pedca_enabled,1
split_stas_across_links,0
distribute_pedca_across_links,1
enable_ul,1
enable_dl,0
stas_link0_target,30
stas_link1_target,0
flows_considered,8
aggregate_throughput_mbps,301.317131
dl_throughput_mbps,0.000000
delay_samples_present,1
jitter_samples_present,1
completion_samples_present,1
tx_packets,1027266
rx_packets,1027165
lost_packets,70
delay_samples,1027165
delay_p50_ms,3.000000
delay_p90_ms,7.000000
delay_p95_ms,9.000000
delay_p99_ms,14.000000
delay_p99_9_ms,22.000000
ul_delay_p50_ms,3.000000
ul_delay_p90_ms,7.000000
ul_delay_p95_ms,9.000000
ul_delay_p99_ms,14.000000
ul_delay_p99_9_ms,22.000000
dl_delay_p50_ms,0.000000
dl_delay_p90_ms,0.000000
dl_delay_p95_ms,0.000000
dl_delay_p99_ms,0.000000
dl_delay_p99_9_ms,0.000000
delay_over_10ms_packets,25544
delay_over_20ms_packets,1590
jitter_samples,1027157
jitter_p50_ms,1.000000
jitter_p90_ms,1.000000
jitter_p95_ms,1.000000
jitter_p99_ms,2.000000
jitter_p99_9_ms,7.000000
ul_jitter_p50_ms,1.000000
ul_jitter_p90_ms,1.000000
ul_jitter_p95_ms,1.000000
ul_jitter_p99_ms,2.000000
ul_jitter_p99_9_ms,7.000000
dl_jitter_p50_ms,0.000000
dl_jitter_p90_ms,0.000000
dl_jitter_p95_ms,0.000000
dl_jitter_p99_ms,0.000000
dl_jitter_p99_9_ms,0.000000
flow_completion_p50_ms,29789.843000
flow_completion_p90_ms,29799.995497
flow_completion_p95_ms,29799.995497
flow_completion_p99_ms,29799.995497
flow_completion_p99_9_ms,29799.995497
retrans_ratio_p50,1.000000
retrans_ratio_p90,1.000000
retrans_ratio_p95,1.000000
retrans_ratio_p99,1.000000
retrans_ratio_p99_9,1.000000
vo_mac_tx_data_failed,149488
vo_mac_tx_final_data_failed,191
vo_mac_tx_rts_failed,12494
vo_mac_tx_data_failed_rate,0.145520
vo_mac_tx_final_data_failed_rate,0.000186
vo_mac_tx_rts_failed_rate,0.012162
vo_channel_access_delay_p50_ms,0.079000
vo_channel_access_delay_p90_ms,4.497000
vo_channel_access_delay_p95_ms,6.846421
vo_channel_access_delay_p99_ms,490.410000
vo_channel_access_delay_p99_9_ms,1160.844842
vo_queue_delay_p50_ms,7.733000
vo_queue_delay_p90_ms,19.508421
vo_queue_delay_p95_ms,22.464421
vo_queue_delay_p99_ms,28.327000
vo_queue_delay_p99_9_ms,28.983000
vo_queue_depth_mean_packets,0.003280
vo_queue_depth_max_packets,2
vo_queue_drop_packets,0
vo_queue_drop_before_enqueue_packets,0
vo_queue_expired_drop_packets,0
