value_ms,cdf
1.000000,0.987398
2.000000,0.989351
3.000000,0.991799
4.000000,0.992974
5.000000,0.994659
6.000000,0.995648
7.000000,0.996499
8.000000,0.997164
9.000000,0.997536
10.000000,0.997950
11.000000,0.998168
12.000000,0.998363
13.000000,0.998557
14.000000,0.998703
15.000000,0.998825
16.000000,0.998938
17.000000,0.999011
18.000000,0.999100
19.000000,0.999173
20.000000,0.999246
21.000000,0.999279
22.000000,0.999327
23.000000,0.999360
24.000000,0.999408
25.000000,0.999449
26.000000,0.999481
27.000000,0.999514
28.000000,0.999538
29.000000,0.999579
30.000000,0.999595
31.000000,0.999603
32.000000,0.999619
34.000000,0.999635
35.000000,0.999652
36.000000,0.999668
37.000000,0.999684
38.000000,0.999700
41.000000,0.999733
42.000000,0.999741
43.000000,0.999749
45.000000,0.999757
46.000000,0.999765
47.000000,0.999781
50.000000,0.999806
52.000000,0.999814
53.000000,0.999822
55.000000,0.999846
57.000000,0.999854
58.000000,0.999862
62.000000,0.999870
66.000000,0.999878
80.000000,0.999887
87.000000,0.999895
90.000000,0.999903
91.000000,0.999911
97.000000,0.999919
101.000000,0.999927
104.000000,0.999935
114.000000,0.999951
117.000000,0.999959
123.000000,0.999968
128.000000,0.999976
150.000000,0.999984
1043.000000,0.999992
1055.000000,1.000000
