value_ms,cdf
0.025000,0.031250
0.025000,0.062500
0.025000,0.093750
0.025000,0.125000
0.025000,0.156250
0.034000,0.187500
0.043000,0.218750
0.043000,0.250000
0.043000,0.281250
0.052000,0.312500
0.079000,0.343750
0.084000,0.375000
0.088000,0.406250
0.088000,0.437500
0.097000,0.468750
0.097000,0.500000
0.135000,0.531250
0.152600,0.562500
0.152600,0.593750
0.152600,0.625000
0.373000,0.656250
0.451000,0.687500
0.822000,0.718750
0.891000,0.750000
0.936000,0.781250
1.349000,0.812500
1.443000,0.843750
2.009000,0.875000
2.403000,0.906250
120.972000,0.937500
485.315000,0.968750
489.859000,1.000000
