value_ms,cdf
0.025000,0.004329
0.025000,0.008658
0.025000,0.012987
0.025000,0.017316
0.025000,0.021645
0.034000,0.025974
0.034000,0.030303
0.034000,0.034632
0.034000,0.038961
0.034000,0.043290
0.034000,0.047619
0.034000,0.051948
0.034000,0.056277
0.034000,0.060606
0.034000,0.064935
0.034000,0.069264
0.034000,0.073593
0.034000,0.077922
0.034000,0.082251
0.034000,0.086580
0.034000,0.090909
0.043000,0.095238
0.043000,0.099567
0.043000,0.103896
0.049000,0.108225
0.049000,0.112554
0.049000,0.116883
0.052000,0.121212
0.058000,0.125541
0.067000,0.129870
0.067000,0.134199
0.068000,0.138528
0.068000,0.142857
0.068000,0.147186
0.068000,0.151515
0.068000,0.155844
0.068000,0.160173
0.068000,0.164502
0.068000,0.168831
0.068000,0.173160
0.077000,0.177489
0.077000,0.181818
0.077000,0.186147
0.095000,0.190476
0.103000,0.194805
0.103000,0.199134
0.103000,0.203463
0.103000,0.207792
0.127000,0.212121
0.136000,0.216450
0.146000,0.220779
0.146000,0.225108
0.146000,0.229437
0.155000,0.233766
0.196000,0.238095
0.310000,0.242424
0.310000,0.246753
0.310000,0.251082
0.319000,0.255411
0.364000,0.259740
0.364000,0.264069
0.364000,0.268398
0.364000,0.272727
0.388000,0.277056
0.397000,0.281385
0.416000,0.285714
0.433000,0.290043
0.433000,0.294372
0.433000,0.298701
0.433000,0.303030
0.438000,0.307359
0.438000,0.311688
0.438000,0.316017
0.438000,0.320346
0.438000,0.324675
0.438000,0.329004
0.438000,0.333333
0.438000,0.337662
0.438000,0.341991
0.438000,0.346320
0.438000,0.350649
0.447000,0.354978
0.447000,0.359307
0.452000,0.363636
0.456000,0.367965
0.456000,0.372294
0.456000,0.376623
0.457000,0.380952
0.457000,0.385281
0.476000,0.389610
0.501000,0.393939
0.510000,0.398268
0.516000,0.402597
0.516000,0.406926
0.516000,0.411255
0.516000,0.415584
0.521000,0.419913
0.534000,0.424242
0.534000,0.428571
0.534000,0.432900
0.534000,0.437229
0.545000,0.441558
0.545000,0.445887
0.692000,0.450216
0.763000,0.454545
0.768000,0.458874
0.846000,0.463203
0.846000,0.467532
0.851000,0.471861
0.884000,0.476190
0.891000,0.480519
0.891000,0.484848
0.891000,0.489177
0.891000,0.493506
0.891000,0.497835
0.915000,0.502165
0.943000,0.506494
0.984000,0.510823
0.986000,0.515152
0.986000,0.519481
0.986000,0.523810
0.986000,0.528139
1.004000,0.532468
1.004000,0.536797
1.004000,0.541126
1.221000,0.545455
1.245000,0.549784
1.343000,0.554113
1.378000,0.558442
1.378000,0.562771
1.378000,0.567100
1.378000,0.571429
1.378000,0.575758
1.396000,0.580087
1.410000,0.584416
1.411000,0.588745
1.412000,0.593074
1.439000,0.597403
1.455000,0.601732
1.455000,0.606061
1.490000,0.610390
1.533000,0.614719
1.718000,0.619048
1.732000,0.623377
1.732000,0.627706
1.796000,0.632035
1.800000,0.636364
1.870000,0.640693
1.870000,0.645022
1.870000,0.649351
1.934000,0.653680
1.934000,0.658009
1.948000,0.662338
1.948000,0.666667
1.956000,0.670996
2.062000,0.675325
2.107000,0.679654
2.184000,0.683983
2.217000,0.688312
2.288000,0.692641
2.392000,0.696970
2.426000,0.701299
2.437000,0.705628
2.643000,0.709957
2.690000,0.714286
2.712000,0.718615
2.712000,0.722944
2.783000,0.727273
2.796000,0.731602
3.209000,0.735931
3.214000,0.740260
3.232000,0.744589
3.275000,0.748918
3.363000,0.753247
3.465000,0.757576
3.532000,0.761905
3.589000,0.766234
3.589000,0.770563
3.589000,0.774892
3.589000,0.779221
3.630000,0.783550
3.650000,0.787879
3.684000,0.792208
3.684000,0.796537
3.762000,0.800866
3.794000,0.805195
4.012000,0.809524
4.014000,0.813853
4.150000,0.818182
4.169000,0.822511
4.525000,0.826840
4.557000,0.831169
4.871000,0.835498
4.994000,0.839827
4.994000,0.844156
5.199000,0.848485
5.199000,0.852814
6.155000,0.857143
6.155000,0.861472
120.001000,0.865801
120.001000,0.870130
120.001000,0.874459
120.001000,0.878788
120.001000,0.883117
120.001000,0.887446
120.001000,0.891775
120.001000,0.896104
120.001000,0.900433
120.001000,0.904762
120.001000,0.909091
120.001000,0.913420
120.001000,0.917749
120.001000,0.922078
120.001000,0.926407
120.001000,0.930736
120.001000,0.935065
120.001000,0.939394
120.001000,0.943723
120.001000,0.948052
484.883000,0.952381
484.883000,0.956710
484.883000,0.961039
486.167000,0.965368
486.167000,0.969697
488.898000,0.974026
489.126000,0.978355
489.306000,0.982684
490.192000,0.987013
490.192000,0.991342
490.192000,0.995671
491.684000,1.000000
