value_ms,cdf
0.312211,0.023256
62.091064,0.046512
77.539000,0.069767
127.310526,0.093023
138.650275,0.116279
162.208947,0.139535
194.016222,0.162791
312.180895,0.186047
412.261789,0.209302
417.994368,0.232558
707.015854,0.255814
793.804907,0.279070
982.875749,0.302326
1772.761116,0.325581
2014.979380,0.348837
2055.103053,0.372093
2129.863579,0.395349
2506.646263,0.418605
2627.678947,0.441860
2795.901474,0.465116
3022.652915,0.488372
3169.585842,0.511628
3243.184632,0.534884
3280.907474,0.558140
3311.569789,0.581395
3359.267579,0.604651
3396.779684,0.627907
3417.391434,0.651163
3480.870105,0.674419
3628.004947,0.697674
3727.128263,0.720930
3872.762421,0.744186
4025.635737,0.767442
4203.524895,0.790698
4280.017211,0.813953
4368.204550,0.837209
4404.329368,0.860465
4431.594211,0.883721
4611.927023,0.906977
4629.847684,0.930233
4800.191842,0.953488
4805.943000,0.976744
4989.374000,1.000000
