value_ms,cdf
1.000000,0.109491
2.000000,0.130847
3.000000,0.142827
4.000000,0.152308
5.000000,0.159235
6.000000,0.166944
7.000000,0.172674
8.000000,0.178248
9.000000,0.183509
10.000000,0.188457
11.000000,0.193562
12.000000,0.197521
13.000000,0.202052
14.000000,0.206428
15.000000,0.209970
16.000000,0.214137
17.000000,0.218356
18.000000,0.222367
19.000000,0.226169
20.000000,0.229659
21.000000,0.233826
22.000000,0.237056
23.000000,0.240702
24.000000,0.244713
25.000000,0.248463
26.000000,0.251849
27.000000,0.255287
28.000000,0.258777
29.000000,0.262163
30.000000,0.265236
31.000000,0.268413
32.000000,0.271487
33.000000,0.274716
34.000000,0.277633
35.000000,0.280550
36.000000,0.283363
37.000000,0.286124
38.000000,0.288988
39.000000,0.291541
40.000000,0.293937
41.000000,0.296802
42.000000,0.299406
43.000000,0.302167
44.000000,0.304511
45.000000,0.306907
46.000000,0.309928
47.000000,0.312116
48.000000,0.315189
49.000000,0.317689
50.000000,0.320398
51.000000,0.323211
52.000000,0.325555
53.000000,0.328003
54.000000,0.330503
55.000000,0.333056
56.000000,0.335816
57.000000,0.338316
58.000000,0.340869
59.000000,0.342952
60.000000,0.345661
61.000000,0.348318
62.000000,0.350714
63.000000,0.353318
64.000000,0.355662
65.000000,0.358475
66.000000,0.360767
67.000000,0.363423
68.000000,0.366080
69.000000,0.368528
70.000000,0.371184
71.000000,0.373685
72.000000,0.376185
73.000000,0.378789
74.000000,0.381550
75.000000,0.384207
76.000000,0.386707
77.000000,0.388999
78.000000,0.391707
79.000000,0.394572
80.000000,0.396916
81.000000,0.399312
82.000000,0.402073
83.000000,0.404625
84.000000,0.407282
85.000000,0.409626
86.000000,0.412283
87.000000,0.414887
88.000000,0.417596
89.000000,0.420200
90.000000,0.422231
91.000000,0.424940
92.000000,0.427545
93.000000,0.429784
94.000000,0.432180
95.000000,0.434160
96.000000,0.436712
97.000000,0.439004
98.000000,0.441036
99.000000,0.443223
100.000000,0.445724
101.000000,0.447963
102.000000,0.450255
103.000000,0.452443
104.000000,0.454579
105.000000,0.457235
106.000000,0.459162
107.000000,0.461298
108.000000,0.463173
109.000000,0.465465
110.000000,0.468018
111.000000,0.469789
112.000000,0.472028
113.000000,0.473799
114.000000,0.475831
115.000000,0.478123
116.000000,0.479633
117.000000,0.481613
118.000000,0.483696
119.000000,0.485624
120.000000,0.487759
121.000000,0.489218
122.000000,0.491249
123.000000,0.493333
124.000000,0.495156
125.000000,0.496979
126.000000,0.498542
127.000000,0.500833
128.000000,0.502761
129.000000,0.504375
130.000000,0.506251
131.000000,0.508178
132.000000,0.510366
133.000000,0.512085
134.000000,0.513856
135.000000,0.515627
136.000000,0.517658
137.000000,0.519481
138.000000,0.521408
139.000000,0.523336
140.000000,0.525211
141.000000,0.527242
142.000000,0.529066
143.000000,0.530941
144.000000,0.532660
145.000000,0.534587
146.000000,0.536410
147.000000,0.537973
148.000000,0.539692
149.000000,0.541567
150.000000,0.543077
151.000000,0.545265
152.000000,0.546776
153.000000,0.548807
154.000000,0.550734
155.000000,0.552714
156.000000,0.554641
157.000000,0.556152
158.000000,0.558183
159.000000,0.559954
160.000000,0.561829
161.000000,0.563757
162.000000,0.565528
163.000000,0.567299
164.000000,0.569018
165.000000,0.570684
166.000000,0.572403
167.000000,0.574331
168.000000,0.575841
169.000000,0.577612
170.000000,0.579071
171.000000,0.580842
172.000000,0.582509
173.000000,0.583967
174.000000,0.585686
175.000000,0.587144
176.000000,0.588863
177.000000,0.590322
178.000000,0.591676
179.000000,0.593291
180.000000,0.594906
181.000000,0.596364
182.000000,0.597927
183.000000,0.599542
184.000000,0.601104
185.000000,0.602667
186.000000,0.604021
187.000000,0.605844
188.000000,0.607355
189.000000,0.609126
190.000000,0.610845
191.000000,0.612355
192.000000,0.613814
193.000000,0.614908
194.000000,0.616731
195.000000,0.618033
196.000000,0.619492
197.000000,0.621002
198.000000,0.622096
199.000000,0.623711
200.000000,0.624440
201.000000,0.626107
202.000000,0.627253
203.000000,0.628555
204.000000,0.629961
205.000000,0.630951
206.000000,0.632462
207.000000,0.633451
208.000000,0.634858
209.000000,0.636056
210.000000,0.636993
211.000000,0.638296
212.000000,0.639494
