value_ms,cdf
1.000000,0.112555
2.000000,0.126651
3.000000,0.947638
4.000000,0.950039
5.000000,0.952180
6.000000,0.953694
7.000000,0.955886
8.000000,0.957296
9.000000,0.958288
10.000000,0.959227
11.000000,0.960324
12.000000,0.961055
13.000000,0.961838
14.000000,0.962569
15.000000,0.963352
16.000000,0.964396
17.000000,0.964866
18.000000,0.965492
19.000000,0.966014
20.000000,0.966849
21.000000,0.967476
22.000000,0.968050
23.000000,0.968468
24.000000,0.968990
25.000000,0.969668
26.000000,0.970086
27.000000,0.970608
28.000000,0.971078
29.000000,0.971548
30.000000,0.972227
31.000000,0.972905
32.000000,0.973375
33.000000,0.973688
34.000000,0.974054
35.000000,0.974524
36.000000,0.974889
37.000000,0.975202
38.000000,0.975516
39.000000,0.975620
40.000000,0.975933
41.000000,0.976507
42.000000,0.976664
43.000000,0.976716
44.000000,0.976925
45.000000,0.977343
46.000000,0.977708
47.000000,0.977865
48.000000,0.978126
49.000000,0.978335
50.000000,0.978491
51.000000,0.978804
52.000000,0.979222
53.000000,0.979274
54.000000,0.979640
55.000000,0.980005
56.000000,0.980214
57.000000,0.980527
58.000000,0.980579
59.000000,0.980841
60.000000,0.980893
61.000000,0.980997
62.000000,0.981206
63.000000,0.981310
64.000000,0.981467
65.000000,0.981571
66.000000,0.981832
67.000000,0.981937
68.000000,0.981989
69.000000,0.982354
70.000000,0.982563
72.000000,0.982668
73.000000,0.982929
74.000000,0.983190
75.000000,0.983451
76.000000,0.983503
77.000000,0.985591
78.000000,0.986009
79.000000,0.986113
80.000000,0.986427
81.000000,0.986635
82.000000,0.986949
83.000000,0.987157
84.000000,0.987471
85.000000,0.987575
86.000000,0.987784
87.000000,0.987888
88.000000,0.988045
89.000000,0.988306
90.000000,0.988463
91.000000,0.988515
92.000000,0.988671
93.000000,0.988828
94.000000,0.988880
95.000000,0.988985
96.000000,0.989193
97.000000,0.989298
98.000000,0.989402
99.000000,0.989454
100.000000,0.989768
101.000000,0.989820
102.000000,0.989924
103.000000,0.990029
104.000000,0.990133
105.000000,0.990185
106.000000,0.990238
107.000000,0.990342
108.000000,0.990446
109.000000,0.990655
110.000000,0.990760
111.000000,0.990812
112.000000,0.990864
114.000000,0.990968
115.000000,0.991125
116.000000,0.991229
118.000000,0.991386
119.000000,0.991543
120.000000,0.991595
121.000000,0.991804
122.000000,0.991908
123.000000,0.992013
125.000000,0.992117
128.000000,0.992169
129.000000,0.992274
131.000000,0.992326
133.000000,0.992430
134.000000,0.992482
135.000000,0.992535
136.000000,0.992587
137.000000,0.992639
138.000000,0.992743
139.000000,0.992796
140.000000,0.992952
142.000000,0.993109
143.000000,0.993370
144.000000,0.993422
146.000000,0.993474
147.000000,0.993631
149.000000,0.993683
150.000000,0.993840
151.000000,0.993892
153.000000,0.993944
154.000000,0.994049
155.000000,0.994205
156.000000,0.994257
157.000000,0.994362
158.000000,0.994414
160.000000,0.994466
161.000000,0.994518
162.000000,0.994779
163.000000,0.994832
167.000000,0.994936
168.000000,0.994988
169.000000,0.995145
170.000000,0.995249
171.000000,0.995406
172.000000,0.995563
173.000000,0.995615
175.000000,0.995667
176.000000,0.995719
177.000000,0.995771
178.000000,0.995876
184.000000,0.995928
185.000000,0.995980
186.000000,0.996032
187.000000,0.996085
190.000000,0.996137
192.000000,0.996189
198.000000,0.996346
201.000000,0.996450
202.000000,0.996607
203.000000,0.996659
205.000000,0.996711
208.000000,0.996763
211.000000,0.996815
212.000000,0.996868
214.000000,0.996920
216.000000,0.996972
219.000000,0.997024
222.000000,0.997076
225.000000,0.997233
228.000000,0.997285
231.000000,0.997338
232.000000,0.997442
235.000000,0.997546
237.000000,0.997651
239.000000,0.997703
241.000000,0.997807
242.000000,0.997860
245.000000,0.997912
246.000000,0.997964
249.000000,0.998016
251.000000,0.998068
253.000000,0.998121
257.000000,0.998173
259.000000,0.998225
261.000000,0.998277
262.000000,0.998329
272.000000,0.998382
277.000000,0.998538
281.000000,0.998590
287.000000,0.998643
297.000000,0.998695
307.000000,0.998747
308.000000,0.998799
328.000000,0.998851
332.000000,0.998904
339.000000,0.998956
366.000000,0.999008
375.000000,0.999060
381.000000,0.999113
388.000000,0.999165
392.000000,0.999217
396.000000,0.999269
403.000000,0.999321
407.000000,0.999374
414.000000,0.999426
415.000000,0.999478
426.000000,0.999530
437.000000,0.999582
445.000000,0.999635
449.000000,0.999687
451.000000,0.999739
473.000000,0.999791
476.000000,0.999843
527.000000,0.999896
544.000000,1.000000
