metric,value
pedca_enabled,1
split_stas_across_links,0
distribute_pedca_across_links,0
rts_cts_threshold,65535
qsrc_threshold,2
psrc_threshold,2
enable_ul,1
enable_dl,0
vo_only_traffic,0
use_rate_limited_traffic,1
offered_load_mbps_per_flow,2.000000
bk_rate_mbps,0.020000
be_rate_mbps,0.050000
vi_rate_mbps,0.150000
vo_rate_mbps,4.500000
mean_profile_ms,250.000000
probability_two_flows,0.150000
max_bytes_per_flow,0
app_start_spread_s,2.000000
stas_link0_target,20
stas_link1_target,0
flows_considered,43
vo_flows_considered,18
aggregate_throughput_mbps,44.477926
pedca_throughput_mbps,26.893414
edca_throughput_mbps,17.584512
vo_throughput_mbps,44.033101
pedca_vo_throughput_mbps,26.710387
edca_vo_throughput_mbps,17.322714
pedca_sta_count,10
edca_sta_count,10
pedca_vo_rx_bytes,16693992
edca_vo_rx_bytes,10826696
avg_pedca_vo_throughput_per_sta_mbps,2.671039
avg_edca_vo_throughput_per_sta_mbps,1.732271
jfi,0.848920
dl_throughput_mbps,0.000000
delay_samples_present,1
jitter_samples_present,1
completion_samples_present,1
tx_packets,26348
rx_packets,19198
lost_packets,0
vo_tx_packets,26063
vo_rx_packets,19006
vo_lost_packets,0
delay_samples,19198
delay_p50_ms,127.000000
delay_p90_ms,475.000000
delay_p95_ms,499.000000
delay_p99_ms,596.000000
delay_p99_9_ms,647.000000
vo_delay_samples,19006
vo_delay_p50_ms,128.000000
vo_delay_p90_ms,475.000000
vo_delay_p95_ms,499.000000
vo_delay_p99_ms,596.000000
vo_delay_p99_9_ms,647.000000
ul_delay_p50_ms,127.000000
ul_delay_p90_ms,475.000000
ul_delay_p95_ms,499.000000
ul_delay_p99_ms,596.000000
ul_delay_p99_9_ms,647.000000
dl_delay_p50_ms,0.000000
dl_delay_p90_ms,0.000000
dl_delay_p95_ms,0.000000
dl_delay_p99_ms,0.000000
dl_delay_p99_9_ms,0.000000
delay_over_10ms_packets,15580
delay_over_20ms_packets,14789
jitter_samples,19155
jitter_p50_ms,3.000000
jitter_p90_ms,3.000000
jitter_p95_ms,4.000000
jitter_p99_ms,103.000000
jitter_p99_9_ms,366.000000
vo_jitter_samples,18988
vo_jitter_p50_ms,3.000000
vo_jitter_p90_ms,3.000000
vo_jitter_p95_ms,3.000000
vo_jitter_p99_ms,95.000000
vo_jitter_p99_9_ms,307.000000
ul_jitter_p50_ms,3.000000
ul_jitter_p90_ms,3.000000
ul_jitter_p95_ms,4.000000
ul_jitter_p99_ms,103.000000
ul_jitter_p99_9_ms,366.000000
dl_jitter_p50_ms,0.000000
dl_jitter_p90_ms,0.000000
dl_jitter_p95_ms,0.000000
dl_jitter_p99_ms,0.000000
dl_jitter_p99_9_ms,0.000000
flow_completion_p50_ms,3169.585842
flow_completion_p90_ms,4611.927023
flow_completion_p95_ms,4800.191842
flow_completion_p99_ms,4989.374000
flow_completion_p99_9_ms,4989.374000
vo_flow_completion_p50_ms,3872.762421
vo_flow_completion_p90_ms,4800.191842
vo_flow_completion_p95_ms,4989.374000
vo_flow_completion_p99_ms,4989.374000
vo_flow_completion_p99_9_ms,4989.374000
retrans_ratio_p50,0.226298
retrans_ratio_p90,1.000000
retrans_ratio_p95,1.000000
retrans_ratio_p99,1.000000
retrans_ratio_p99_9,1.000000
vo_retrans_ratio_p50,0.218391
vo_retrans_ratio_p90,0.379955
vo_retrans_ratio_p95,1.000000
vo_retrans_ratio_p99,1.000000
vo_retrans_ratio_p99_9,1.000000
pedca_selections,37
pedca_cts_attempts,49
pedca_successes,15
pedca_failures,86
pedca_resets,22
pedca_eligibility_checks,157
pedca_max_trigger_count,2
vo_mac_tx_data_failed,27659
vo_mac_tx_final_data_failed,32
vo_mac_tx_rts_failed,0
vo_mac_tx_data_failed_rate,1.049757
vo_mac_tx_final_data_failed_rate,0.001215
vo_mac_tx_rts_failed_rate,0.000000
vo_channel_access_delay_p50_ms,0.915000
vo_channel_access_delay_p90_ms,120.001000
vo_channel_access_delay_p95_ms,484.883000
vo_channel_access_delay_p99_ms,490.192000
vo_channel_access_delay_p99_9_ms,491.684000
vo_queue_delay_p50_ms,9.812000
vo_queue_delay_p90_ms,15.121000
vo_queue_delay_p95_ms,16.966000
vo_queue_delay_p99_ms,18.466000
vo_queue_delay_p99_9_ms,18.466000
vo_queue_depth_mean_packets,0.001573
vo_queue_depth_max_packets,1
vo_queue_drop_packets,0
vo_queue_drop_before_enqueue_packets,0
vo_queue_expired_drop_packets,0
