value_ms,cdf
1.000000,0.109071
2.000000,0.129801
3.000000,0.141639
4.000000,0.151163
5.000000,0.157898
6.000000,0.165369
7.000000,0.170946
8.000000,0.176418
9.000000,0.181627
10.000000,0.186520
11.000000,0.191571
12.000000,0.195254
13.000000,0.199726
14.000000,0.204093
15.000000,0.207566
16.000000,0.211670
17.000000,0.215879
18.000000,0.219878
19.000000,0.223719
20.000000,0.227191
21.000000,0.231243
22.000000,0.234452
23.000000,0.238083
24.000000,0.242029
25.000000,0.245764
26.000000,0.249079
27.000000,0.252552
28.000000,0.255919
29.000000,0.259339
30.000000,0.262443
31.000000,0.265653
32.000000,0.268757
33.000000,0.272019
34.000000,0.274966
35.000000,0.277860
36.000000,0.280701
37.000000,0.283384
38.000000,0.286278
39.000000,0.288804
40.000000,0.291224
41.000000,0.294065
42.000000,0.296696
43.000000,0.299432
44.000000,0.301747
45.000000,0.304167
46.000000,0.307219
47.000000,0.309429
48.000000,0.312480
49.000000,0.314953
50.000000,0.317584
51.000000,0.320373
52.000000,0.322740
53.000000,0.325213
54.000000,0.327739
55.000000,0.330264
56.000000,0.333053
57.000000,0.335473
58.000000,0.337999
59.000000,0.340103
60.000000,0.342786
61.000000,0.345470
62.000000,0.347785
63.000000,0.350363
64.000000,0.352678
65.000000,0.355519
66.000000,0.357834
67.000000,0.360413
68.000000,0.363096
69.000000,0.365569
70.000000,0.368252
71.000000,0.370725
72.000000,0.373251
73.000000,0.375881
74.000000,0.378670
75.000000,0.381353
76.000000,0.383826
77.000000,0.386089
78.000000,0.388825
79.000000,0.391666
80.000000,0.394033
81.000000,0.396454
82.000000,0.399242
83.000000,0.401715
84.000000,0.404399
85.000000,0.406714
86.000000,0.409397
87.000000,0.411975
88.000000,0.414711
89.000000,0.417342
90.000000,0.419394
91.000000,0.422130
92.000000,0.424761
93.000000,0.426970
94.000000,0.429338
95.000000,0.431337
96.000000,0.433916
97.000000,0.436178
98.000000,0.438230
99.000000,0.440335
100.000000,0.442808
101.000000,0.445070
102.000000,0.447385
103.000000,0.449595
104.000000,0.451699
105.000000,0.454383
106.000000,0.456330
107.000000,0.458487
108.000000,0.460328
109.000000,0.462643
110.000000,0.465222
111.000000,0.467010
112.000000,0.469273
113.000000,0.471062
114.000000,0.473061
115.000000,0.475376
116.000000,0.476902
117.000000,0.478901
118.000000,0.481006
119.000000,0.482900
120.000000,0.485057
121.000000,0.486531
122.000000,0.488583
123.000000,0.490687
124.000000,0.492529
125.000000,0.494370
126.000000,0.495949
127.000000,0.498264
128.000000,0.500158
129.000000,0.501789
130.000000,0.503683
131.000000,0.505630
132.000000,0.507840
133.000000,0.509576
134.000000,0.511365
135.000000,0.513154
136.000000,0.515206
137.000000,0.517047
138.000000,0.518994
139.000000,0.520836
140.000000,0.522730
141.000000,0.524729
142.000000,0.526571
143.000000,0.528465
144.000000,0.530201
145.000000,0.532148
146.000000,0.533989
147.000000,0.535568
148.000000,0.537304
149.000000,0.539198
150.000000,0.540724
151.000000,0.542934
152.000000,0.544460
153.000000,0.546512
154.000000,0.548458
155.000000,0.550405
156.000000,0.552352
157.000000,0.553878
158.000000,0.555930
159.000000,0.557719
160.000000,0.559613
161.000000,0.561560
162.000000,0.563348
163.000000,0.565085
164.000000,0.566768
165.000000,0.568452
166.000000,0.570188
167.000000,0.572083
168.000000,0.573608
169.000000,0.575397
170.000000,0.576818
171.000000,0.578554
172.000000,0.580238
173.000000,0.581711
174.000000,0.583395
175.000000,0.584868
176.000000,0.586552
177.000000,0.587972
178.000000,0.589340
179.000000,0.590971
180.000000,0.592602
181.000000,0.594023
182.000000,0.595601
183.000000,0.597232
184.000000,0.598811
185.000000,0.600389
186.000000,0.601757
187.000000,0.603599
188.000000,0.605125
189.000000,0.606861
190.000000,0.608597
191.000000,0.610071
192.000000,0.611544
193.000000,0.612649
194.000000,0.614490
195.000000,0.615753
196.000000,0.617226
197.000000,0.618752
198.000000,0.619857
199.000000,0.621488
200.000000,0.622225
201.000000,0.623908
202.000000,0.625066
203.000000,0.626381
204.000000,0.627802
205.000000,0.628749
206.000000,0.630275
207.000000,0.631274
208.000000,0.632695
209.000000,0.633905
210.000000,0.634852
211.000000,0.636115
212.000000,0.637325
213.000000,0.638798
214.000000,0.639745
215.000000,0.641113
216.000000,0.642166
217.000000,0.643218
218.000000,0.644323
219.000000,0.645533
220.000000,0.646638
221.000000,0.647638
222.000000,0.648743
223.000000,0.649742
224.000000,0.650637
225.000000,0.651689
226.000000,0.652846
227.000000,0.653794
228.000000,0.654951
229.000000,0.655846
230.000000,0.656793
231.000000,0.657898
232.000000,0.659002
233.000000,0.660055
234.000000,0.661107
235.000000,0.662001
236.000000,0.663001
237.000000,0.663896
238.000000,0.665001
239.000000,0.665948
240.000000,0.666895
241.000000,0.667894
242.000000,0.668736
243.000000,0.669578
244.000000,0.670525
245.000000,0.671420
246.000000,0.672472
247.000000,0.673156
248.000000,0.673892
249.000000,0.674787
250.000000,0.675366
251.000000,0.676155
252.000000,0.676892
253.000000,0.677628
254.000000,0.678417
255.000000,0.679049
256.000000,0.679838
257.000000,0.680575
258.000000,0.681311
259.000000,0.682048
260.000000,0.682627
261.000000,0.683626
262.000000,0.684310
263.000000,0.684836
264.000000,0.685783
265.000000,0.686467
266.000000,0.687204
267.000000,0.687888
268.000000,0.688519
269.000000,0.689151
270.000000,0.690098
271.000000,0.690624
272.000000,0.691361
273.000000,0.691992
274.000000,0.692676
275.000000,0.693676
276.000000,0.694307
277.000000,0.695202
278.000000,0.695886
279.000000,0.696727
280.000000,0.697569
281.000000,0.698253
282.000000,0.699148
283.000000,0.699779
284.000000,0.700621
285.000000,0.701305
286.000000,0.702041
287.000000,0.702725
288.000000,0.703725
289.000000,0.704620
290.000000,0.705251
291.000000,0.706040
292.000000,0.706777
293.000000,0.707513
294.000000,0.708303
295.000000,0.708881
296.000000,0.709618
297.000000,0.710302
298.000000,0.711196
299.000000,0.711986
300.000000,0.712617
301.000000,0.713406
302.000000,0.714301
303.000000,0.715090
304.000000,0.715932
305.000000,0.716616
306.000000,0.717721
307.000000,0.718563
308.000000,0.719352
309.000000,0.720141
310.000000,0.721035
311.000000,0.721772
312.000000,0.722509
313.000000,0.723298
314.000000,0.724035
315.000000,0.724771
316.000000,0.725613
317.000000,0.726244
318.000000,0.726928
319.000000,0.727718
320.000000,0.728507
321.000000,0.729138
322.000000,0.729875
323.000000,0.730559
324.000000,0.731453
325.000000,0.732032
326.000000,0.732926
327.000000,0.733558
328.000000,0.734347
329.000000,0.735294
330.000000,0.735925
331.000000,0.736978
332.000000,0.737451
333.000000,0.738293
334.000000,0.739240
335.000000,0.739872
336.000000,0.740871
337.000000,0.741450
338.000000,0.742397
339.000000,0.743081
340.000000,0.743818
341.000000,0.744554
342.000000,0.745449
343.000000,0.746080
344.000000,0.746817
345.000000,0.747711
346.000000,0.748395
347.000000,0.749395
348.000000,0.750079
349.000000,0.751026
350.000000,0.751763
351.000000,0.752394
352.000000,0.753499
353.000000,0.754130
354.000000,0.755025
355.000000,0.755867
