value_ms,cdf
1.000000,0.111483
2.000000,0.126043
3.000000,0.955311
4.000000,0.957437
5.000000,0.959615
6.000000,0.960731
7.000000,0.961953
8.000000,0.962910
9.000000,0.963866
10.000000,0.964610
11.000000,0.965673
12.000000,0.966736
13.000000,0.967639
14.000000,0.968383
15.000000,0.969074
16.000000,0.969339
17.000000,0.970030
18.000000,0.970880
19.000000,0.971678
20.000000,0.972103
21.000000,0.972421
22.000000,0.972900
23.000000,0.973644
24.000000,0.974281
25.000000,0.974653
26.000000,0.974972
27.000000,0.975238
28.000000,0.975716
29.000000,0.976088
30.000000,0.976460
31.000000,0.976885
32.000000,0.977682
33.000000,0.977842
34.000000,0.978107
35.000000,0.978373
36.000000,0.978532
37.000000,0.978851
38.000000,0.979117
39.000000,0.979542
40.000000,0.979861
41.000000,0.980126
42.000000,0.980180
43.000000,0.980392
44.000000,0.980552
45.000000,0.980924
46.000000,0.981136
47.000000,0.981189
48.000000,0.981721
49.000000,0.981774
50.000000,0.982252
51.000000,0.982624
52.000000,0.982890
53.000000,0.983315
54.000000,0.983527
55.000000,0.983793
56.000000,0.984059
57.000000,0.984377
58.000000,0.984431
59.000000,0.984696
60.000000,0.984856
61.000000,0.985068
62.000000,0.985228
63.000000,0.985440
64.000000,0.985547
65.000000,0.985600
66.000000,0.985653
67.000000,0.985972
68.000000,0.986184
69.000000,0.986397
70.000000,0.986503
71.000000,0.986716
72.000000,0.986875
73.000000,0.987088
74.000000,0.987194
75.000000,0.987459
76.000000,0.987831
77.000000,0.988150
78.000000,0.988310
79.000000,0.988469
81.000000,0.988575
82.000000,0.988682
83.000000,0.988788
84.000000,0.988947
85.000000,0.989266
86.000000,0.989479
87.000000,0.989691
88.000000,0.989798
89.000000,0.989851
90.000000,0.989957
92.000000,0.990010
93.000000,0.990223
94.000000,0.990382
95.000000,0.990541
96.000000,0.990648
98.000000,0.990807
99.000000,0.990913
100.000000,0.991126
101.000000,0.991339
102.000000,0.991445
103.000000,0.991604
104.000000,0.991711
105.000000,0.991817
106.000000,0.991870
107.000000,0.991923
108.000000,0.991976
109.000000,0.992136
110.000000,0.992189
111.000000,0.992242
113.000000,0.992295
114.000000,0.992348
115.000000,0.992401
116.000000,0.992667
119.000000,0.992826
120.000000,0.992880
121.000000,0.992986
122.000000,0.993039
124.000000,0.993198
125.000000,0.993305
126.000000,0.993411
127.000000,0.993464
128.000000,0.993623
129.000000,0.993730
130.000000,0.993783
131.000000,0.993942
134.000000,0.994102
136.000000,0.994155
138.000000,0.994208
140.000000,0.994314
143.000000,0.994474
147.000000,0.994580
148.000000,0.994633
149.000000,0.994686
150.000000,0.994792
152.000000,0.994899
153.000000,0.995111
154.000000,0.995164
155.000000,0.995218
158.000000,0.995271
159.000000,0.995324
160.000000,0.995377
161.000000,0.995430
162.000000,0.995536
163.000000,0.995590
165.000000,0.995643
166.000000,0.995696
167.000000,0.995802
168.000000,0.995855
170.000000,0.995962
172.000000,0.996068
173.000000,0.996121
175.000000,0.996174
176.000000,0.996227
177.000000,0.996280
178.000000,0.996387
180.000000,0.996440
181.000000,0.996546
182.000000,0.996599
184.000000,0.996705
185.000000,0.996759
188.000000,0.996812
193.000000,0.996865
197.000000,0.996918
198.000000,0.996971
199.000000,0.997024
202.000000,0.997077
204.000000,0.997131
205.000000,0.997184
206.000000,0.997237
208.000000,0.997290
210.000000,0.997343
214.000000,0.997396
216.000000,0.997449
218.000000,0.997503
223.000000,0.997556
225.000000,0.997609
226.000000,0.997662
230.000000,0.997715
232.000000,0.997768
233.000000,0.997821
235.000000,0.997874
237.000000,0.997981
239.000000,0.998034
241.000000,0.998087
243.000000,0.998140
247.000000,0.998193
250.000000,0.998300
253.000000,0.998353
255.000000,0.998512
257.000000,0.998565
261.000000,0.998618
262.000000,0.998725
267.000000,0.998778
271.000000,0.998884
274.000000,0.998937
276.000000,0.998990
278.000000,0.999044
282.000000,0.999097
284.000000,0.999150
288.000000,0.999203
305.000000,0.999256
308.000000,0.999309
309.000000,0.999362
328.000000,0.999415
353.000000,0.999469
362.000000,0.999522
366.000000,0.999575
367.000000,0.999628
391.000000,0.999681
414.000000,0.999734
424.000000,0.999787
448.000000,0.999841
466.000000,0.999894
497.000000,0.999947
501.000000,1.000000
