metric,value
pedca_enabled,1
split_stas_across_links,0
distribute_pedca_across_links,0
rts_cts_threshold,65535
qsrc_threshold,2
psrc_threshold,2
enable_ul,1
enable_dl,0
vo_only_traffic,0
use_rate_limited_traffic,1
offered_load_mbps_per_flow,2.000000
bk_rate_mbps,0.020000
be_rate_mbps,0.050000
vi_rate_mbps,0.100000
vo_rate_mbps,7.000000
mean_profile_ms,250.000000
probability_two_flows,0.150000
max_bytes_per_flow,0
app_start_spread_s,2.000000
stas_link0_target,30
stas_link1_target,0
flows_considered,60
vo_flows_considered,27
aggregate_throughput_mbps,88.360435
pedca_throughput_mbps,46.326733
edca_throughput_mbps,42.033702
vo_throughput_mbps,88.094003
pedca_vo_throughput_mbps,46.217843
edca_vo_throughput_mbps,41.876160
pedca_sta_count,15
edca_sta_count,15
pedca_vo_rx_bytes,28886152
edca_vo_rx_bytes,26172600
avg_pedca_vo_throughput_per_sta_mbps,3.081190
avg_edca_vo_throughput_per_sta_mbps,2.791744
jfi,0.813969
dl_throughput_mbps,0.000000
delay_samples_present,1
jitter_samples_present,1
completion_samples_present,1
tx_packets,62383
rx_packets,38139
lost_packets,0
vo_tx_packets,62091
vo_rx_packets,38024
vo_lost_packets,0
delay_samples,38139
delay_p50_ms,308.000000
delay_p90_ms,508.000000
delay_p95_ms,577.000000
delay_p99_ms,712.000000
delay_p99_9_ms,869.000000
vo_delay_samples,38024
vo_delay_p50_ms,309.000000
vo_delay_p90_ms,508.000000
vo_delay_p95_ms,577.000000
vo_delay_p99_ms,712.000000
vo_delay_p99_9_ms,868.000000
ul_delay_p50_ms,308.000000
ul_delay_p90_ms,508.000000
ul_delay_p95_ms,577.000000
ul_delay_p99_ms,712.000000
ul_delay_p99_9_ms,869.000000
dl_delay_p50_ms,0.000000
dl_delay_p90_ms,0.000000
dl_delay_p95_ms,0.000000
dl_delay_p99_ms,0.000000
dl_delay_p99_9_ms,0.000000
delay_over_10ms_packets,33317
delay_over_20ms_packets,31561
jitter_samples,38079
jitter_p50_ms,2.000000
jitter_p90_ms,2.000000
jitter_p95_ms,2.000000
jitter_p99_ms,79.000000
jitter_p99_9_ms,350.000000
vo_jitter_samples,37997
vo_jitter_p50_ms,2.000000
vo_jitter_p90_ms,2.000000
vo_jitter_p95_ms,2.000000
vo_jitter_p99_ms,69.000000
vo_jitter_p99_9_ms,331.000000
ul_jitter_p50_ms,2.000000
ul_jitter_p90_ms,2.000000
ul_jitter_p95_ms,2.000000
ul_jitter_p99_ms,79.000000
ul_jitter_p99_9_ms,350.000000
dl_jitter_p50_ms,0.000000
dl_jitter_p90_ms,0.000000
dl_jitter_p95_ms,0.000000
dl_jitter_p99_ms,0.000000
dl_jitter_p99_9_ms,0.000000
flow_completion_p50_ms,2997.994535
flow_completion_p90_ms,4365.112345
flow_completion_p95_ms,4501.970087
flow_completion_p99_ms,4936.979000
flow_completion_p99_9_ms,4936.979000
vo_flow_completion_p50_ms,3869.944724
vo_flow_completion_p90_ms,4580.574840
vo_flow_completion_p95_ms,4741.299448
vo_flow_completion_p99_ms,4936.979000
vo_flow_completion_p99_9_ms,4936.979000
retrans_ratio_p50,0.500000
retrans_ratio_p90,1.000000
retrans_ratio_p95,1.000000
retrans_ratio_p99,1.000000
retrans_ratio_p99_9,1.000000
vo_retrans_ratio_p50,0.327899
vo_retrans_ratio_p90,0.667689
vo_retrans_ratio_p95,1.000000
vo_retrans_ratio_p99,1.000000
vo_retrans_ratio_p99_9,1.000000
pedca_selections,96
pedca_cts_attempts,146
pedca_successes,24
pedca_failures,247
pedca_resets,67
pedca_eligibility_checks,419
pedca_max_trigger_count,2
vo_mac_tx_data_failed,52221
vo_mac_tx_final_data_failed,188
vo_mac_tx_rts_failed,0
vo_mac_tx_data_failed_rate,0.837103
vo_mac_tx_final_data_failed_rate,0.003014
vo_mac_tx_rts_failed_rate,0.000000
vo_channel_access_delay_p50_ms,0.952000
vo_channel_access_delay_p90_ms,120.001000
vo_channel_access_delay_p95_ms,488.155000
vo_channel_access_delay_p99_ms,1144.002000
vo_channel_access_delay_p99_9_ms,1144.002000
vo_queue_delay_p50_ms,11.406000
vo_queue_delay_p90_ms,17.191000
vo_queue_delay_p95_ms,18.491000
vo_queue_delay_p99_ms,20.695000
vo_queue_delay_p99_9_ms,20.695000
vo_queue_depth_mean_packets,0.002938
vo_queue_depth_max_packets,1
vo_queue_drop_packets,0
vo_queue_drop_before_enqueue_packets,0
vo_queue_expired_drop_packets,0
