value_ms,cdf
1.000000,0.063670
2.000000,0.076268
3.000000,0.084815
4.000000,0.092152
5.000000,0.098359
6.000000,0.104829
7.000000,0.110062
8.000000,0.115874
9.000000,0.121713
10.000000,0.126183
11.000000,0.131654
12.000000,0.136545
13.000000,0.141568
14.000000,0.146329
15.000000,0.150668
16.000000,0.155533
17.000000,0.159846
18.000000,0.164186
19.000000,0.168394
20.000000,0.172023
21.000000,0.176126
22.000000,0.180123
23.000000,0.183936
24.000000,0.187881
25.000000,0.191458
26.000000,0.194798
27.000000,0.198401
28.000000,0.202057
29.000000,0.205554
30.000000,0.208684
31.000000,0.211787
32.000000,0.214917
33.000000,0.218099
34.000000,0.221071
35.000000,0.223964
36.000000,0.226962
37.000000,0.229960
38.000000,0.232643
39.000000,0.235430
40.000000,0.238113
41.000000,0.240401
42.000000,0.243162
43.000000,0.245687
44.000000,0.248212
45.000000,0.250973
46.000000,0.253287
47.000000,0.255733
48.000000,0.258205
49.000000,0.260520
50.000000,0.263044
51.000000,0.265306
52.000000,0.267620
53.000000,0.269856
54.000000,0.272275
55.000000,0.274432
56.000000,0.276641
57.000000,0.278745
58.000000,0.280902
59.000000,0.282979
60.000000,0.285109
61.000000,0.287108
62.000000,0.288949
63.000000,0.291053
64.000000,0.292841
65.000000,0.294814
66.000000,0.296839
67.000000,0.298496
68.000000,0.300494
69.000000,0.302151
70.000000,0.304045
71.000000,0.305991
72.000000,0.307648
73.000000,0.309568
74.000000,0.311224
75.000000,0.312960
76.000000,0.314538
77.000000,0.315958
78.000000,0.317668
79.000000,0.319062
80.000000,0.320613
81.000000,0.322112
82.000000,0.323375
83.000000,0.325005
84.000000,0.326294
85.000000,0.327635
86.000000,0.329082
87.000000,0.330107
88.000000,0.331501
89.000000,0.332606
90.000000,0.333684
91.000000,0.334973
92.000000,0.335919
93.000000,0.337155
94.000000,0.338365
95.000000,0.339391
96.000000,0.340627
97.000000,0.341469
98.000000,0.342468
99.000000,0.343625
100.000000,0.344572
101.000000,0.345598
102.000000,0.346492
103.000000,0.347491
