value_ms,cdf
0.025000,0.002188
0.025000,0.004376
0.025000,0.006565
0.025000,0.008753
0.025000,0.010941
0.025000,0.013129
0.034000,0.015317
0.034000,0.017505
0.034000,0.019694
0.034000,0.021882
0.034000,0.024070
0.034000,0.026258
0.034000,0.028446
0.034000,0.030635
0.034000,0.032823
0.034000,0.035011
0.034000,0.037199
0.034000,0.039387
0.034000,0.041575
0.034000,0.043764
0.034000,0.045952
0.034000,0.048140
0.034000,0.050328
0.034000,0.052516
0.049000,0.054705
0.058000,0.056893
0.058000,0.059081
0.058000,0.061269
0.058000,0.063457
0.058000,0.065646
0.058000,0.067834
0.058000,0.070022
0.061000,0.072210
0.064000,0.074398
0.068000,0.076586
0.068000,0.078775
0.068000,0.080963
0.068000,0.083151
0.068000,0.085339
0.068000,0.087527
0.068000,0.089716
0.068000,0.091904
0.068000,0.094092
0.077000,0.096280
0.077000,0.098468
0.082000,0.100656
0.082000,0.102845
0.086000,0.105033
0.086000,0.107221
0.086000,0.109409
0.103000,0.111597
0.103000,0.113786
0.103000,0.115974
0.103000,0.118162
0.103000,0.120350
0.103000,0.122538
0.103000,0.124726
0.103000,0.126915
0.103000,0.129103
0.104000,0.131291
0.121000,0.133479
0.121000,0.135667
0.127000,0.137856
0.146000,0.140044
0.146000,0.142232
0.146000,0.144420
0.146000,0.146608
0.146000,0.148796
0.146000,0.150985
0.310000,0.153173
0.310000,0.155361
0.310000,0.157549
0.310000,0.159737
0.310000,0.161926
0.310000,0.164114
0.313000,0.166302
0.319000,0.168490
0.319000,0.170678
0.319000,0.172867
0.328000,0.175055
0.346000,0.177243
0.364000,0.179431
0.364000,0.181619
0.388000,0.183807
0.388000,0.185996
0.388000,0.188184
0.388000,0.190372
0.388000,0.192560
0.397000,0.194748
0.398000,0.196937
0.407000,0.199125
0.433000,0.201313
0.438000,0.203501
0.438000,0.205689
0.438000,0.207877
0.438000,0.210066
0.438000,0.212254
0.438000,0.214442
0.438000,0.216630
0.438000,0.218818
0.442000,0.221007
0.443000,0.223195
0.447000,0.225383
0.447000,0.227571
0.447000,0.229759
0.447000,0.231947
0.447000,0.234136
0.447000,0.236324
0.447000,0.238512
0.447000,0.240700
0.456000,0.242888
0.456000,0.245077
0.457000,0.247265
0.457000,0.249453
0.474000,0.251641
0.474000,0.253829
0.476000,0.256018
0.476000,0.258206
0.476000,0.260394
0.476000,0.262582
0.477000,0.264770
0.488000,0.266958
0.516000,0.269147
0.516000,0.271335
0.516000,0.273523
0.516000,0.275711
0.516000,0.277899
0.516000,0.280088
0.516000,0.282276
0.521000,0.284464
0.521000,0.286652
0.521000,0.288840
0.521000,0.291028
0.526000,0.293217
0.526000,0.295405
0.526000,0.297593
0.526000,0.299781
0.526000,0.301969
0.535000,0.304158
0.535000,0.306346
0.535000,0.308534
0.563000,0.310722
0.563000,0.312910
0.604000,0.315098
0.604000,0.317287
0.604000,0.319475
0.604000,0.321663
0.604000,0.323851
0.604000,0.326039
0.604000,0.328228
0.604000,0.330416
0.796000,0.332604
0.822000,0.334792
0.822000,0.336980
0.822000,0.339168
0.822000,0.341357
0.822000,0.343545
0.822000,0.345733
0.822000,0.347921
0.822000,0.350109
0.822000,0.352298
0.822000,0.354486
0.822000,0.356674
0.837000,0.358862
0.837000,0.361050
0.846000,0.363239
0.855000,0.365427
0.855000,0.367615
0.865000,0.369803
0.892000,0.371991
0.892000,0.374179
0.892000,0.376368
0.893000,0.378556
0.915000,0.380744
0.924000,0.382932
0.924000,0.385120
0.934000,0.387309
0.934000,0.389497
0.934000,0.391685
0.960000,0.393873
0.960000,0.396061
0.960000,0.398249
0.960000,0.400438
0.961000,0.402626
0.961000,0.404814
0.979000,0.407002
0.986000,0.409190
1.003000,0.411379
1.013000,0.413567
1.064000,0.415755
1.072000,0.417943
1.072000,0.420131
1.116000,0.422319
1.162000,0.424508
1.176000,0.426696
1.176000,0.428884
1.178000,0.431072
1.221000,0.433260
1.235000,0.435449
1.235000,0.437637
1.245000,0.439825
1.245000,0.442013
1.245000,0.444201
1.245000,0.446389
1.254000,0.448578
1.264000,0.450766
1.304000,0.452954
1.309000,0.455142
1.309000,0.457330
1.309000,0.459519
1.309000,0.461707
1.309000,0.463895
1.309000,0.466083
1.309000,0.468271
1.311000,0.470460
1.323000,0.472648
1.323000,0.474836
1.341000,0.477024
1.341000,0.479212
1.360000,0.481400
1.378000,0.483589
1.392000,0.485777
1.392000,0.487965
1.430000,0.490153
1.448000,0.492341
1.451000,0.494530
1.461000,0.496718
1.463000,0.498906
1.471000,0.501094
1.508000,0.503282
1.565000,0.505470
1.565000,0.507659
1.570000,0.509847
1.634000,0.512035
1.639000,0.514223
1.639000,0.516411
1.672000,0.518600
1.715000,0.520788
1.715000,0.522976
1.722000,0.525164
1.724000,0.527352
1.732000,0.529540
1.735000,0.531729
1.740000,0.533917
1.749000,0.536105
1.767000,0.538293
1.768000,0.540481
1.791000,0.542670
1.791000,0.544858
1.791000,0.547046
1.791000,0.549234
1.793000,0.551422
1.804000,0.553611
1.836000,0.555799
1.836000,0.557987
1.836000,0.560175
1.836000,0.562363
1.836000,0.564551
1.838000,0.566740
1.855000,0.568928
1.860000,0.571116
1.860000,0.573304
1.882000,0.575492
1.882000,0.577681
1.905000,0.579869
1.905000,0.582057
1.905000,0.584245
1.905000,0.586433
1.923000,0.588621
1.923000,0.590810
1.951000,0.592998
1.995000,0.595186
2.001000,0.597374
2.002000,0.599562
2.023000,0.601751
2.028000,0.603939
2.047000,0.606127
2.047000,0.608315
2.089000,0.610503
2.194000,0.612691
2.194000,0.614880
2.199000,0.617068
2.199000,0.619256
2.199000,0.621444
2.199000,0.623632
2.212000,0.625821
2.216000,0.628009
2.226000,0.630197
2.235000,0.632385
2.249000,0.634573
2.249000,0.636761
2.340000,0.638950
2.373000,0.641138
2.376000,0.643326
2.391000,0.645514
2.406000,0.647702
2.406000,0.649891
2.438000,0.652079
2.438000,0.654267
2.438000,0.656455
2.438000,0.658643
2.453000,0.660832
2.524000,0.663020
2.529000,0.665208
2.529000,0.667396
2.616000,0.669584
2.650000,0.671772
2.657000,0.673961
2.657000,0.676149
2.665000,0.678337
2.670000,0.680525
2.703000,0.682713
2.717000,0.684902
2.717000,0.687090
2.717000,0.689278
2.748000,0.691466
2.783000,0.693654
2.895000,0.695842
2.909000,0.698031
2.920000,0.700219
2.920000,0.702407
2.920000,0.704595
2.946000,0.706783
2.982000,0.708972
2.982000,0.711160
3.014000,0.713348
3.045000,0.715536
3.045000,0.717724
3.049000,0.719912
3.056000,0.722101
3.101000,0.724289
3.123000,0.726477
3.135000,0.728665
3.147000,0.730853
3.158000,0.733042
3.158000,0.735230
