value_ms,cdf
25950.137883,0.031250
25974.916000,0.062500
25984.146422,0.093750
25993.868914,0.125000
28787.277264,0.156250
28869.478095,0.187500
28932.398324,0.218750
28943.645095,0.250000
28944.245216,0.281250
28951.004955,0.312500
28951.005748,0.343750
28954.069721,0.375000
28955.781095,0.406250
28957.967095,0.437500
28960.514000,0.468750
28962.658000,0.500000
28967.443644,0.531250
28976.088000,0.562500
28978.396310,0.593750
28983.400000,0.625000
28984.456095,0.656250
28984.651000,0.687500
28984.668095,0.718750
28985.244422,0.750000
28985.601422,0.781250
28985.755013,0.812500
28986.730422,0.843750
28989.717000,0.875000
28994.136000,0.906250
28994.715095,0.937500
28999.734000,0.968750
28999.958713,1.000000
