metric,value
pedca_enabled,1
split_stas_across_links,0
distribute_pedca_across_links,0
rts_cts_threshold,65535
qsrc_threshold,2
psrc_threshold,2
enable_ul,1
enable_dl,1
stas_link0_target,2
stas_link1_target,0
flows_considered,32
vo_flows_considered,4
aggregate_throughput_mbps,181.980992
pedca_throughput_mbps,100.558541
edca_throughput_mbps,81.422451
jfi,0.989063
dl_throughput_mbps,173.143923
delay_samples_present,1
jitter_samples_present,1
completion_samples_present,1
tx_packets,1756711
rx_packets,1754902
lost_packets,609
vo_tx_packets,451490
vo_rx_packets,451370
vo_lost_packets,4
delay_samples,1754902
delay_p50_ms,6.000000
delay_p90_ms,33.000000
delay_p95_ms,55.000000
delay_p99_ms,137.000000
delay_p99_9_ms,370.000000
vo_delay_samples,451370
vo_delay_p50_ms,5.000000
vo_delay_p90_ms,12.000000
vo_delay_p95_ms,15.000000
vo_delay_p99_ms,23.000000
vo_delay_p99_9_ms,33.000000
ul_delay_p50_ms,5.000000
ul_delay_p90_ms,31.000000
ul_delay_p95_ms,59.000000
ul_delay_p99_ms,188.000000
ul_delay_p99_9_ms,453.000000
dl_delay_p50_ms,7.000000
dl_delay_p90_ms,35.000000
dl_delay_p95_ms,53.000000
dl_delay_p99_ms,104.000000
dl_delay_p99_9_ms,184.000000
delay_over_10ms_packets,544334
delay_over_20ms_packets,290824
jitter_samples,1754870
jitter_p50_ms,1.000000
jitter_p90_ms,1.000000
jitter_p95_ms,1.000000
jitter_p99_ms,6.000000
jitter_p99_9_ms,66.000000
vo_jitter_samples,451366
vo_jitter_p50_ms,1.000000
vo_jitter_p90_ms,1.000000
vo_jitter_p95_ms,1.000000
vo_jitter_p99_ms,2.000000
vo_jitter_p99_9_ms,12.000000
ul_jitter_p50_ms,1.000000
ul_jitter_p90_ms,1.000000
ul_jitter_p95_ms,1.000000
ul_jitter_p99_ms,6.000000
ul_jitter_p99_9_ms,84.000000
dl_jitter_p50_ms,1.000000
dl_jitter_p90_ms,1.000000
dl_jitter_p95_ms,1.000000
dl_jitter_p99_ms,7.000000
dl_jitter_p99_9_ms,52.000000
flow_completion_p50_ms,28962.658000
flow_completion_p90_ms,28994.136000
flow_completion_p95_ms,28999.734000
flow_completion_p99_ms,28999.958713
flow_completion_p99_9_ms,28999.958713
vo_flow_completion_p50_ms,28984.456095
vo_flow_completion_p90_ms,28999.958713
vo_flow_completion_p95_ms,28999.958713
vo_flow_completion_p99_ms,28999.958713
vo_flow_completion_p99_9_ms,28999.958713
retrans_ratio_p50,0.000984
retrans_ratio_p90,0.109290
retrans_ratio_p95,0.164154
retrans_ratio_p99,0.205212
retrans_ratio_p99_9,0.205212
vo_retrans_ratio_p50,0.000009
vo_retrans_ratio_p90,0.000984
vo_retrans_ratio_p95,0.000984
vo_retrans_ratio_p99,0.000984
vo_retrans_ratio_p99_9,0.000984
pedca_selections,0
pedca_cts_attempts,0
pedca_successes,0
pedca_failures,0
pedca_resets,0
pedca_eligibility_checks,3
pedca_max_trigger_count,1
vo_mac_tx_data_failed,327755
vo_mac_tx_final_data_failed,214
vo_mac_tx_rts_failed,0
vo_mac_tx_data_failed_rate,0.186573
vo_mac_tx_final_data_failed_rate,0.000122
vo_mac_tx_rts_failed_rate,0.000000
vo_channel_access_delay_p50_ms,120.001000
vo_channel_access_delay_p90_ms,120.001000
vo_channel_access_delay_p95_ms,120.001000
vo_channel_access_delay_p99_ms,120.001000
vo_channel_access_delay_p99_9_ms,120.001000
vo_queue_delay_p50_ms,0.357000
vo_queue_delay_p90_ms,1.361000
vo_queue_delay_p95_ms,1.361000
vo_queue_delay_p99_ms,1.361000
vo_queue_delay_p99_9_ms,1.361000
vo_queue_depth_mean_packets,0.000029
vo_queue_depth_max_packets,1
vo_queue_drop_packets,0
vo_queue_drop_before_enqueue_packets,0
vo_queue_expired_drop_packets,0
