value_ms,cdf
0.034000,0.011905
0.034000,0.023810
0.034000,0.035714
0.034000,0.047619
0.034000,0.059524
0.034000,0.071429
0.034000,0.083333
0.034000,0.095238
0.043000,0.107143
0.043000,0.119048
0.052000,0.130952
0.052000,0.142857
0.052000,0.154762
0.052000,0.166667
0.060000,0.178571
0.096000,0.190476
0.112000,0.202381
0.112000,0.214286
0.334000,0.226190
0.473600,0.238095
0.473600,0.250000
0.491600,0.261905
0.580000,0.273810
0.598000,0.285714
0.604000,0.297619
0.604000,0.309524
0.675000,0.321429
0.675000,0.333333
0.676000,0.345238
0.687000,0.357143
0.687000,0.369048
0.687000,0.380952
0.749000,0.392857
1.019600,0.404762
1.037600,0.416667
1.037600,0.428571
1.037600,0.440476
1.081000,0.452381
1.135000,0.464286
1.144600,0.476190
1.178000,0.488095
1.222000,0.500000
1.266000,0.511905
1.295000,0.523810
1.295000,0.535714
1.459000,0.547619
1.565600,0.559524
1.724000,0.571429
1.724000,0.583333
1.841000,0.595238
1.841000,0.607143
1.931000,0.619048
1.931000,0.630952
1.931000,0.642857
1.993000,0.654762
2.014000,0.666667
2.081000,0.678571
2.121000,0.690476
2.173000,0.702381
2.173000,0.714286
2.173000,0.726190
2.527000,0.738095
3.040000,0.750000
3.952000,0.761905
3.952000,0.773810
5.277000,0.785714
5.948000,0.797619
120.001000,0.809524
120.001000,0.821429
120.001000,0.833333
120.001000,0.845238
120.001000,0.857143
120.001000,0.869048
120.001000,0.880952
120.001000,0.892857
120.001000,0.904762
120.001000,0.916667
489.169000,0.928571
489.715000,0.940476
492.775000,0.952381
496.485000,0.964286
497.031000,0.976190
498.123000,0.988095
498.669000,1.000000
