value_ms,cdf
1.000000,0.981817
2.000000,0.984964
3.000000,0.987322
4.000000,0.988839
5.000000,0.990283
6.000000,0.991463
7.000000,0.992246
8.000000,0.993004
9.000000,0.993716
10.000000,0.994262
11.000000,0.994743
12.000000,0.995169
13.000000,0.995519
14.000000,0.995850
15.000000,0.996144
16.000000,0.996383
17.000000,0.996605
18.000000,0.996798
19.000000,0.996964
20.000000,0.997124
21.000000,0.997245
22.000000,0.997382
23.000000,0.997486
24.000000,0.997599
25.000000,0.997685
26.000000,0.997784
27.000000,0.997856
28.000000,0.997924
29.000000,0.997987
30.000000,0.998055
31.000000,0.998112
32.000000,0.998163
33.000000,0.998225
34.000000,0.998274
35.000000,0.998317
36.000000,0.998367
37.000000,0.998413
38.000000,0.998445
39.000000,0.998480
40.000000,0.998513
41.000000,0.998550
42.000000,0.998583
43.000000,0.998618
44.000000,0.998647
45.000000,0.998672
46.000000,0.998707
47.000000,0.998738
48.000000,0.998762
49.000000,0.998780
50.000000,0.998803
51.000000,0.998824
52.000000,0.998845
53.000000,0.998875
54.000000,0.998897
55.000000,0.998920
56.000000,0.998942
57.000000,0.998966
58.000000,0.998981
59.000000,0.999003
60.000000,0.999024
61.000000,0.999034
62.000000,0.999050
63.000000,0.999071
64.000000,0.999086
65.000000,0.999102
66.000000,0.999126
67.000000,0.999146
68.000000,0.999161
69.000000,0.999177
70.000000,0.999192
71.000000,0.999210
72.000000,0.999222
73.000000,0.999244
74.000000,0.999261
75.000000,0.999277
76.000000,0.999288
77.000000,0.999301
78.000000,0.999320
79.000000,0.999331
80.000000,0.999338
81.000000,0.999352
82.000000,0.999359
83.000000,0.999371
84.000000,0.999384
85.000000,0.999393
86.000000,0.999401
87.000000,0.999409
88.000000,0.999417
89.000000,0.999426
90.000000,0.999434
91.000000,0.999444
92.000000,0.999452
93.000000,0.999460
94.000000,0.999468
95.000000,0.999476
96.000000,0.999483
97.000000,0.999491
98.000000,0.999496
99.000000,0.999504
100.000000,0.999513
101.000000,0.999520
102.000000,0.999526
103.000000,0.999533
104.000000,0.999540
105.000000,0.999548
106.000000,0.999553
107.000000,0.999557
108.000000,0.999562
109.000000,0.999570
110.000000,0.999575
111.000000,0.999580
112.000000,0.999586
113.000000,0.999592
114.000000,0.999597
115.000000,0.999602
116.000000,0.999612
117.000000,0.999617
118.000000,0.999624
119.000000,0.999628
120.000000,0.999630
121.000000,0.999635
122.000000,0.999642
123.000000,0.999647
124.000000,0.999651
125.000000,0.999655
126.000000,0.999658
127.000000,0.999660
128.000000,0.999664
129.000000,0.999667
130.000000,0.999669
131.000000,0.999676
132.000000,0.999682
