value_ms,cdf
1.000000,0.974858
2.000000,0.978600
3.000000,0.981938
4.000000,0.983836
5.000000,0.985761
6.000000,0.986856
7.000000,0.987762
8.000000,0.988481
9.000000,0.989073
10.000000,0.989615
11.000000,0.990034
12.000000,0.990384
13.000000,0.990717
14.000000,0.991000
15.000000,0.991248
16.000000,0.991455
17.000000,0.991645
18.000000,0.991806
19.000000,0.991975
20.000000,0.992145
21.000000,0.992304
22.000000,0.992430
23.000000,0.992567
24.000000,0.992683
25.000000,0.992792
26.000000,0.992916
27.000000,0.993029
28.000000,0.993142
29.000000,0.993254
30.000000,0.993349
31.000000,0.993441
32.000000,0.993542
33.000000,0.993634
34.000000,0.993718
35.000000,0.993805
36.000000,0.993906
37.000000,0.993986
38.000000,0.994073
39.000000,0.994163
40.000000,0.994223
41.000000,0.994310
42.000000,0.994412
43.000000,0.994484
44.000000,0.994550
45.000000,0.994638
46.000000,0.994706
47.000000,0.994783
48.000000,0.994848
49.000000,0.994923
50.000000,0.995007
51.000000,0.995085
52.000000,0.995157
53.000000,0.995227
54.000000,0.995294
55.000000,0.995346
56.000000,0.995416
57.000000,0.995466
58.000000,0.995533
59.000000,0.995605
60.000000,0.995666
61.000000,0.995728
62.000000,0.995781
63.000000,0.995835
64.000000,0.995881
65.000000,0.995925
66.000000,0.995965
67.000000,0.996001
68.000000,0.996031
69.000000,0.996064
70.000000,0.996102
71.000000,0.996139
72.000000,0.996186
73.000000,0.996225
74.000000,0.996260
75.000000,0.996293
76.000000,0.996335
77.000000,0.996361
78.000000,0.996391
79.000000,0.996421
80.000000,0.996454
81.000000,0.996485
82.000000,0.996517
83.000000,0.996551
84.000000,0.996577
85.000000,0.996600
86.000000,0.996627
87.000000,0.996647
88.000000,0.996675
89.000000,0.996703
90.000000,0.996730
91.000000,0.996762
92.000000,0.996793
93.000000,0.996821
94.000000,0.996855
95.000000,0.996886
96.000000,0.996912
97.000000,0.996941
98.000000,0.996962
99.000000,0.996987
100.000000,0.997022
101.000000,0.997047
102.000000,0.997071
103.000000,0.997090
104.000000,0.997116
105.000000,0.997141
106.000000,0.997167
107.000000,0.997193
108.000000,0.997210
109.000000,0.997232
110.000000,0.997254
111.000000,0.997271
112.000000,0.997289
113.000000,0.997311
114.000000,0.997338
115.000000,0.997361
116.000000,0.997378
117.000000,0.997394
118.000000,0.997415
119.000000,0.997434
120.000000,0.997455
121.000000,0.997466
122.000000,0.997494
123.000000,0.997511
124.000000,0.997536
125.000000,0.997549
126.000000,0.997573
127.000000,0.997583
128.000000,0.997596
129.000000,0.997624
130.000000,0.997642
131.000000,0.997672
132.000000,0.997698
133.000000,0.997718
134.000000,0.997731
135.000000,0.997747
136.000000,0.997760
137.000000,0.997780
138.000000,0.997796
139.000000,0.997822
140.000000,0.997849
141.000000,0.997864
142.000000,0.997883
143.000000,0.997896
144.000000,0.997907
145.000000,0.997926
146.000000,0.997945
147.000000,0.997959
148.000000,0.997976
149.000000,0.997994
