value_ms,cdf
0.025000,0.001953
0.025000,0.003906
0.025000,0.005859
0.025000,0.007812
0.034000,0.009766
0.034000,0.011719
0.034000,0.013672
0.034000,0.015625
0.034000,0.017578
0.034000,0.019531
0.034000,0.021484
0.034000,0.023438
0.034000,0.025391
0.034000,0.027344
0.034000,0.029297
0.034000,0.031250
0.043000,0.033203
0.043000,0.035156
0.049000,0.037109
0.049000,0.039062
0.049000,0.041016
0.052000,0.042969
0.052000,0.044922
0.058000,0.046875
0.058000,0.048828
0.058000,0.050781
0.058000,0.052734
0.058000,0.054688
0.064000,0.056641
0.068000,0.058594
0.068000,0.060547
0.068000,0.062500
0.068000,0.064453
0.068000,0.066406
0.073000,0.068359
0.073000,0.070312
0.073000,0.072266
0.077000,0.074219
0.077000,0.076172
0.077000,0.078125
0.077000,0.080078
0.077000,0.082031
0.077000,0.083984
0.077000,0.085938
0.077000,0.087891
0.077000,0.089844
0.077000,0.091797
0.077000,0.093750
0.077000,0.095703
0.086000,0.097656
0.103000,0.099609
0.103000,0.101562
0.103000,0.103516
0.103000,0.105469
0.103000,0.107422
0.103000,0.109375
0.103000,0.111328
0.103000,0.113281
0.104000,0.115234
0.112000,0.117188
0.112000,0.119141
0.112000,0.121094
0.142000,0.123047
0.146000,0.125000
0.196000,0.126953
0.215000,0.128906
0.215000,0.130859
0.215000,0.132812
0.215000,0.134766
0.215000,0.136719
0.215000,0.138672
0.215000,0.140625
0.215000,0.142578
0.215000,0.144531
0.224000,0.146484
0.274000,0.148438
0.295000,0.150391
0.310000,0.152344
0.310000,0.154297
0.310000,0.156250
0.310000,0.158203
0.310000,0.160156
0.310000,0.162109
0.310000,0.164062
0.319000,0.166016
0.319000,0.167969
0.319000,0.169922
0.319000,0.171875
0.319000,0.173828
0.319000,0.175781
0.319000,0.177734
0.328000,0.179688
0.328000,0.181641
0.328000,0.183594
0.328000,0.185547
0.360000,0.187500
0.360000,0.189453
0.364000,0.191406
0.364000,0.193359
0.364000,0.195312
0.364000,0.197266
0.388000,0.199219
0.388000,0.201172
0.388000,0.203125
0.388000,0.205078
0.397000,0.207031
0.397000,0.208984
0.398000,0.210938
0.402000,0.212891
0.407000,0.214844
0.407000,0.216797
0.407000,0.218750
0.407000,0.220703
0.407000,0.222656
0.408000,0.224609
0.417000,0.226562
0.433000,0.228516
0.434000,0.230469
0.438000,0.232422
0.443000,0.234375
0.443000,0.236328
0.447000,0.238281
0.447000,0.240234
0.447000,0.242188
0.447000,0.244141
0.447000,0.246094
0.447000,0.248047
0.447000,0.250000
0.447000,0.251953
0.447000,0.253906
0.447000,0.255859
0.447000,0.257812
0.447000,0.259766
0.456000,0.261719
0.456000,0.263672
0.456000,0.265625
0.456000,0.267578
0.456000,0.269531
0.457000,0.271484
0.468000,0.273438
0.512000,0.275391
0.516000,0.277344
0.516000,0.279297
0.518000,0.281250
0.521000,0.283203
0.525000,0.285156
0.526000,0.287109
0.527000,0.289062
0.545000,0.291016
0.554000,0.292969
0.557000,0.294922
0.581000,0.296875
0.614000,0.298828
0.649000,0.300781
0.718000,0.302734
0.718000,0.304688
0.718000,0.306641
0.727000,0.308594
0.777000,0.310547
0.777000,0.312500
0.777000,0.314453
0.777000,0.316406
0.787000,0.318359
0.803000,0.320312
0.814000,0.322266
0.814000,0.324219
0.814000,0.326172
0.814000,0.328125
0.814000,0.330078
0.822000,0.332031
0.822000,0.333984
0.822000,0.335938
0.822000,0.337891
0.822000,0.339844
0.822000,0.341797
0.822000,0.343750
0.822000,0.345703
0.822000,0.347656
0.822000,0.349609
0.822000,0.351562
0.855000,0.353516
0.855000,0.355469
0.860000,0.357422
0.865000,0.359375
0.865000,0.361328
0.871000,0.363281
0.874000,0.365234
0.901000,0.367188
0.916000,0.369141
0.916000,0.371094
0.922000,0.373047
0.924000,0.375000
0.924000,0.376953
0.934000,0.378906
0.934000,0.380859
0.934000,0.382812
0.934000,0.384766
0.934000,0.386719
0.934000,0.388672
0.934000,0.390625
0.940000,0.392578
0.940000,0.394531
0.946000,0.396484
0.981000,0.398438
0.990000,0.400391
0.995000,0.402344
1.002000,0.404297
1.003000,0.406250
1.012000,0.408203
1.072000,0.410156
1.072000,0.412109
1.073000,0.414062
1.073000,0.416016
1.107000,0.417969
1.107000,0.419922
1.132000,0.421875
1.176000,0.423828
1.185000,0.425781
1.185000,0.427734
1.185000,0.429688
1.194000,0.431641
1.195000,0.433594
1.195000,0.435547
1.231000,0.437500
1.240000,0.439453
1.240000,0.441406
1.240000,0.443359
1.240000,0.445312
1.240000,0.447266
1.245000,0.449219
1.264000,0.451172
1.264000,0.453125
1.264000,0.455078
1.264000,0.457031
1.264000,0.458984
1.264000,0.460938
1.264000,0.462891
1.273000,0.464844
1.293000,0.466797
1.304000,0.468750
1.304000,0.470703
1.311000,0.472656
1.325000,0.474609
1.345000,0.476562
1.352000,0.478516
1.352000,0.480469
1.370000,0.482422
1.403000,0.484375
1.410000,0.486328
1.447000,0.488281
1.457000,0.490234
1.457000,0.492188
1.457000,0.494141
1.475000,0.496094
1.490000,0.498047
1.490000,0.500000
1.490000,0.501953
1.515000,0.503906
1.515000,0.505859
1.522000,0.507812
1.522000,0.509766
1.570000,0.511719
1.570000,0.513672
1.594000,0.515625
1.608000,0.517578
1.619000,0.519531
1.663000,0.521484
1.663000,0.523438
1.680000,0.525391
1.682000,0.527344
1.689000,0.529297
1.689000,0.531250
1.689000,0.533203
1.689000,0.535156
