value_ms,cdf
3.990380,0.012987
7.126966,0.025974
9.007000,0.038961
32.044034,0.051948
39.202000,0.064935
75.805035,0.077922
95.479448,0.090909
187.556827,0.103896
234.662759,0.116883
256.907310,0.129870
350.499138,0.142857
451.857897,0.155844
475.461656,0.168831
486.264586,0.181818
587.390172,0.194805
621.798172,0.207792
632.260379,0.220779
656.469034,0.233766
670.732000,0.246753
745.051621,0.259740
958.958276,0.272727
971.059344,0.285714
1174.380758,0.298701
1274.193828,0.311688
1324.252103,0.324675
1430.024000,0.337662
1463.980621,0.350649
1534.390000,0.363636
1594.605035,0.376623
1680.585689,0.389610
1706.561655,0.402597
1707.198483,0.415584
1776.196206,0.428571
1928.111000,0.441558
2033.407482,0.454545
2277.020069,0.467532
2691.378103,0.480519
2848.155862,0.493506
2891.155621,0.506494
2948.349241,0.519481
3058.230414,0.532468
3100.570241,0.545455
3112.468206,0.558442
3209.888310,0.571429
3242.890335,0.584416
3275.918758,0.597403
3364.705724,0.610390
3365.382660,0.623377
3394.322793,0.636364
3426.021242,0.649351
3513.696310,0.662338
3571.214764,0.675325
3602.331646,0.688312
3724.885621,0.701299
3755.203964,0.714286
3818.530690,0.727273
3852.511896,0.740260
3918.191073,0.753247
3925.268173,0.766234
4004.636067,0.779221
4029.589656,0.792208
4089.335825,0.805195
4126.343867,0.818182
4293.889725,0.831169
4363.761517,0.844156
4407.783936,0.857143
4413.973853,0.870130
4533.783729,0.883117
4541.078254,0.896104
4571.592828,0.909091
4572.023863,0.922078
4584.908586,0.935065
4682.521620,0.948052
4716.312828,0.961039
4770.491380,0.974026
4921.131757,0.987013
4960.323172,1.000000
