value_ms,cdf
1.000000,0.100550
2.000000,0.123223
3.000000,0.143702
4.000000,0.159665
5.000000,0.174802
6.000000,0.187935
7.000000,0.200242
8.000000,0.213597
9.000000,0.226254
10.000000,0.238115
11.000000,0.251280
12.000000,0.264381
13.000000,0.275543
14.000000,0.289821
15.000000,0.303050
16.000000,0.314466
17.000000,0.328298
18.000000,0.342068
19.000000,0.354597
20.000000,0.368302
21.000000,0.382071
22.000000,0.393869
23.000000,0.407384
24.000000,0.420803
25.000000,0.432410
26.000000,0.445988
27.000000,0.458072
28.000000,0.469997
29.000000,0.483321
30.000000,0.494451
31.000000,0.506567
32.000000,0.519223
33.000000,0.529653
34.000000,0.541387
35.000000,0.553535
36.000000,0.564092
37.000000,0.574395
38.000000,0.586352
39.000000,0.595287
40.000000,0.605813
41.000000,0.617102
42.000000,0.625370
43.000000,0.635546
44.000000,0.645976
45.000000,0.653544
46.000000,0.663370
47.000000,0.672719
48.000000,0.680224
49.000000,0.688746
50.000000,0.697491
51.000000,0.704487
52.000000,0.712882
53.000000,0.720577
54.000000,0.727637
55.000000,0.735173
56.000000,0.742106
57.000000,0.748752
58.000000,0.755716
59.000000,0.761535
60.000000,0.767482
61.000000,0.774668
62.000000,0.779470
63.000000,0.785608
64.000000,0.791967
65.000000,0.796324
66.000000,0.802461
67.000000,0.808408
68.000000,0.812637
69.000000,0.818202
70.000000,0.823385
71.000000,0.827074
72.000000,0.832512
73.000000,0.837059
74.000000,0.840780
75.000000,0.845486
76.000000,0.849715
77.000000,0.853436
78.000000,0.857920
79.000000,0.861354
80.000000,0.865043
81.000000,0.868891
82.000000,0.872039
83.000000,0.875314
84.000000,0.878812
85.000000,0.881642
86.000000,0.884886
87.000000,0.888161
88.000000,0.890482
89.000000,0.893758
90.000000,0.896747
91.000000,0.899195
92.000000,0.901962
93.000000,0.904570
94.000000,0.906732
95.000000,0.909340
96.000000,0.911820
97.000000,0.913569
98.000000,0.916240
99.000000,0.918434
100.000000,0.919897
101.000000,0.922473
102.000000,0.924508
103.000000,0.926257
104.000000,0.928387
105.000000,0.930264
106.000000,0.931917
107.000000,0.933952
108.000000,0.935511
109.000000,0.937164
110.000000,0.938945
111.000000,0.940408
112.000000,0.941998
113.000000,0.943619
114.000000,0.944955
115.000000,0.946481
116.000000,0.947976
117.000000,0.949343
118.000000,0.950711
119.000000,0.952078
120.000000,0.953191
121.000000,0.954431
122.000000,0.955862
123.000000,0.956912
124.000000,0.958120
125.000000,0.959392
126.000000,0.960187
127.000000,0.961459
128.000000,0.962636
129.000000,0.963399
130.000000,0.964512
131.000000,0.965466
132.000000,0.966165
133.000000,0.967151
134.000000,0.967946
135.000000,0.968677
136.000000,0.969568
137.000000,0.970395
138.000000,0.971094
139.000000,0.971857
140.000000,0.972589
141.000000,0.973193
142.000000,0.974020
143.000000,0.974497
144.000000,0.975133
145.000000,0.975896
146.000000,0.976341
147.000000,0.976914
148.000000,0.977772
149.000000,0.978058
150.000000,0.978567
151.000000,0.979299
152.000000,0.979553
153.000000,0.980093
154.000000,0.980698
155.000000,0.980888
156.000000,0.981556
157.000000,0.982001
158.000000,0.982224
159.000000,0.982892
160.000000,0.983273
161.000000,0.983623
162.000000,0.984227
163.000000,0.984514
164.000000,0.984800
165.000000,0.985404
166.000000,0.985690
167.000000,0.986040
168.000000,0.986549
169.000000,0.986899
