value_ms,cdf
1.000000,0.095155
2.000000,0.109755
3.000000,0.921677
4.000000,0.925438
5.000000,0.927861
6.000000,0.930507
7.000000,0.933248
8.000000,0.935735
9.000000,0.937871
10.000000,0.940293
11.000000,0.942588
12.000000,0.944979
13.000000,0.946382
14.000000,0.948199
15.000000,0.949793
16.000000,0.951578
17.000000,0.953395
18.000000,0.955053
19.000000,0.956264
20.000000,0.957348
21.000000,0.958974
22.000000,0.960440
23.000000,0.961715
24.000000,0.962703
25.000000,0.963978
26.000000,0.964871
27.000000,0.966210
28.000000,0.967453
29.000000,0.968505
30.000000,0.969398
31.000000,0.970226
32.000000,0.971023
33.000000,0.972426
34.000000,0.973318
35.000000,0.974307
36.000000,0.975040
37.000000,0.975869
38.000000,0.976634
39.000000,0.977335
40.000000,0.977845
41.000000,0.978196
42.000000,0.979025
43.000000,0.979630
44.000000,0.980332
45.000000,0.980873
46.000000,0.981575
47.000000,0.982149
48.000000,0.982563
49.000000,0.982754
50.000000,0.983551
51.000000,0.983838
52.000000,0.984157
53.000000,0.984603
54.000000,0.985145
55.000000,0.985528
56.000000,0.985910
57.000000,0.986452
58.000000,0.986739
59.000000,0.987153
60.000000,0.987472
61.000000,0.987727
62.000000,0.988142
63.000000,0.988460
64.000000,0.988715
65.000000,0.989098
66.000000,0.989321
67.000000,0.989608
68.000000,0.989831
69.000000,0.990182
70.000000,0.990469
71.000000,0.990660
72.000000,0.990947
73.000000,0.991106
74.000000,0.991266
75.000000,0.991489
76.000000,0.991712
77.000000,0.991903
78.000000,0.992094
79.000000,0.992477
80.000000,0.992796
81.000000,0.993051
82.000000,0.993114
83.000000,0.993369
84.000000,0.993624
85.000000,0.993784
86.000000,0.993911
87.000000,0.994135
88.000000,0.994421
89.000000,0.994645
90.000000,0.994740
91.000000,0.994772
92.000000,0.994931
93.000000,0.995091
94.000000,0.995218
95.000000,0.995314
96.000000,0.995505
97.000000,0.995665
98.000000,0.995792
99.000000,0.995920
100.000000,0.996015
101.000000,0.996111
102.000000,0.996207
103.000000,0.996334
104.000000,0.996398
105.000000,0.996430
106.000000,0.996525
107.000000,0.996557
108.000000,0.996621
109.000000,0.996685
110.000000,0.996748
111.000000,0.996780
112.000000,0.996844
114.000000,0.996908
115.000000,0.996972
116.000000,0.997099
117.000000,0.997290
118.000000,0.997354
120.000000,0.997418
122.000000,0.997482
123.000000,0.997577
124.000000,0.997641
125.000000,0.997705
127.000000,0.997769
128.000000,0.997832
129.000000,0.997864
130.000000,0.997960
131.000000,0.997992
132.000000,0.998024
133.000000,0.998087
134.000000,0.998119
135.000000,0.998183
136.000000,0.998215
138.000000,0.998310
139.000000,0.998342
140.000000,0.998406
144.000000,0.998438
145.000000,0.998470
146.000000,0.998502
148.000000,0.998566
149.000000,0.998629
150.000000,0.998725
151.000000,0.998757
153.000000,0.998789
156.000000,0.998821
160.000000,0.998852
162.000000,0.998916
165.000000,0.998980
166.000000,0.999012
168.000000,0.999044
169.000000,0.999076
171.000000,0.999107
172.000000,0.999139
174.000000,0.999171
176.000000,0.999203
178.000000,0.999267
181.000000,0.999299
182.000000,0.999331
185.000000,0.999362
187.000000,0.999394
195.000000,0.999426
199.000000,0.999458
207.000000,0.999522
215.000000,0.999554
232.000000,0.999649
241.000000,0.999681
286.000000,0.999713
302.000000,0.999745
326.000000,0.999777
327.000000,0.999809
340.000000,0.999841
347.000000,0.999872
383.000000,0.999904
440.000000,0.999936
1213.000000,0.999968
1267.000000,1.000000
