metric,value
pedca_enabled,1
split_stas_across_links,0
distribute_pedca_across_links,0
rts_cts_threshold,65535
qsrc_threshold,2
psrc_threshold,2
enable_ul,1
enable_dl,0
vo_only_traffic,0
use_rate_limited_traffic,1
offered_load_mbps_per_flow,2.000000
bk_rate_mbps,0.020000
be_rate_mbps,0.050000
vi_rate_mbps,0.100000
vo_rate_mbps,4.000000
mean_profile_ms,250.000000
probability_two_flows,0.150000
max_bytes_per_flow,0
app_start_spread_s,2.000000
stas_link0_target,30
stas_link1_target,0
flows_considered,77
vo_flows_considered,27
aggregate_throughput_mbps,72.856410
pedca_throughput_mbps,5.822118
edca_throughput_mbps,67.034291
vo_throughput_mbps,72.321229
pedca_vo_throughput_mbps,5.805901
edca_vo_throughput_mbps,66.515328
pedca_sta_count,3
edca_sta_count,27
pedca_vo_rx_bytes,3628688
edca_vo_rx_bytes,41572080
avg_pedca_vo_throughput_per_sta_mbps,1.935300
avg_edca_vo_throughput_per_sta_mbps,2.463531
jfi,0.856225
dl_throughput_mbps,0.000000
delay_samples_present,1
jitter_samples_present,1
completion_samples_present,1
tx_packets,35871
rx_packets,31447
lost_packets,0
vo_tx_packets,35579
vo_rx_packets,31216
vo_lost_packets,0
delay_samples,31447
delay_p50_ms,31.000000
delay_p90_ms,92.000000
delay_p95_ms,118.000000
delay_p99_ms,178.000000
delay_p99_9_ms,338.000000
vo_delay_samples,31216
vo_delay_p50_ms,31.000000
vo_delay_p90_ms,92.000000
vo_delay_p95_ms,118.000000
vo_delay_p99_ms,177.000000
vo_delay_p99_9_ms,329.000000
ul_delay_p50_ms,31.000000
ul_delay_p90_ms,92.000000
ul_delay_p95_ms,118.000000
ul_delay_p99_ms,178.000000
ul_delay_p99_9_ms,338.000000
dl_delay_p50_ms,0.000000
dl_delay_p90_ms,0.000000
dl_delay_p95_ms,0.000000
dl_delay_p99_ms,0.000000
dl_delay_p99_9_ms,0.000000
delay_over_10ms_packets,23959
delay_over_20ms_packets,19865
jitter_samples,31370
jitter_p50_ms,3.000000
jitter_p90_ms,3.000000
jitter_p95_ms,16.000000
jitter_p99_ms,69.000000
jitter_p99_9_ms,166.000000
vo_jitter_samples,31189
vo_jitter_p50_ms,3.000000
vo_jitter_p90_ms,3.000000
vo_jitter_p95_ms,14.000000
vo_jitter_p99_ms,65.000000
vo_jitter_p99_9_ms,150.000000
ul_jitter_p50_ms,3.000000
ul_jitter_p90_ms,3.000000
ul_jitter_p95_ms,16.000000
ul_jitter_p99_ms,69.000000
ul_jitter_p99_9_ms,166.000000
dl_jitter_p50_ms,0.000000
dl_jitter_p90_ms,0.000000
dl_jitter_p95_ms,0.000000
dl_jitter_p99_ms,0.000000
dl_jitter_p99_9_ms,0.000000
flow_completion_p50_ms,2891.155621
flow_completion_p90_ms,4571.592828
flow_completion_p95_ms,4716.312828
flow_completion_p99_ms,4960.323172
flow_completion_p99_9_ms,4960.323172
vo_flow_completion_p50_ms,4029.589656
vo_flow_completion_p90_ms,4716.312828
vo_flow_completion_p95_ms,4921.131757
vo_flow_completion_p99_ms,4960.323172
vo_flow_completion_p99_9_ms,4960.323172
retrans_ratio_p50,0.013810
retrans_ratio_p90,1.000000
retrans_ratio_p95,1.000000
retrans_ratio_p99,1.000000
retrans_ratio_p99_9,1.000000
vo_retrans_ratio_p50,0.025348
vo_retrans_ratio_p90,0.404145
vo_retrans_ratio_p95,1.000000
vo_retrans_ratio_p99,1.000000
vo_retrans_ratio_p99_9,1.000000
pedca_selections,55
pedca_cts_attempts,35
pedca_successes,36
pedca_failures,324
pedca_resets,16
pedca_eligibility_checks,101
pedca_max_trigger_count,2
vo_mac_tx_data_failed,48665
vo_mac_tx_final_data_failed,68
vo_mac_tx_rts_failed,0
vo_mac_tx_data_failed_rate,1.356667
vo_mac_tx_final_data_failed_rate,0.001896
vo_mac_tx_rts_failed_rate,0.000000
vo_channel_access_delay_p50_ms,1.490000
vo_channel_access_delay_p90_ms,120.001000
vo_channel_access_delay_p95_ms,490.077000
vo_channel_access_delay_p99_ms,1144.007000
vo_channel_access_delay_p99_9_ms,1144.007000
vo_queue_delay_p50_ms,10.121000
vo_queue_delay_p90_ms,16.431000
vo_queue_delay_p95_ms,16.761000
vo_queue_delay_p99_ms,18.985000
vo_queue_delay_p99_9_ms,18.985000
vo_queue_depth_mean_packets,0.002754
vo_queue_depth_max_packets,1
vo_queue_drop_packets,0
vo_queue_drop_before_enqueue_packets,0
vo_queue_expired_drop_packets,0
