value_ms,cdf
2780.777483,0.037037
3043.644246,0.074074
3149.541281,0.111111
3257.256483,0.148148
3288.162377,0.185185
3311.027832,0.222222
3461.024690,0.259259
3538.762552,0.296296
3565.756724,0.333333
3734.964104,0.370370
3860.908138,0.407407
3947.879655,0.444444
3992.789173,0.481481
4054.041005,0.518519
4136.854522,0.555556
4232.942379,0.592593
4287.887619,0.629630
4316.107419,0.666667
4351.785931,0.703704
4510.804542,0.740741
4538.623488,0.777778
4541.834242,0.814815
4585.338311,0.851852
4619.080966,0.888889
4685.064005,0.925926
4780.251177,0.962963
4964.618074,1.000000
