value_ms,cdf
1.000000,0.099030
2.000000,0.122050
3.000000,0.141037
4.000000,0.158742
5.000000,0.172190
6.000000,0.185573
7.000000,0.199340
8.000000,0.211443
9.000000,0.223898
10.000000,0.237537
11.000000,0.249768
12.000000,0.262511
13.000000,0.276502
14.000000,0.288733
15.000000,0.302116
16.000000,0.316076
17.000000,0.328339
18.000000,0.341466
19.000000,0.354785
20.000000,0.367112
21.000000,0.380143
22.000000,0.393366
23.000000,0.405308
24.000000,0.418564
25.000000,0.430794
26.000000,0.442609
27.000000,0.455800
28.000000,0.467678
29.000000,0.479493
30.000000,0.491659
31.000000,0.503570
32.000000,0.514840
33.000000,0.526590
34.000000,0.537957
35.000000,0.548618
36.000000,0.560113
37.000000,0.570486
38.000000,0.581276
39.000000,0.591394
40.000000,0.601287
41.000000,0.611437
42.000000,0.621138
43.000000,0.630519
44.000000,0.639900
45.000000,0.648833
46.000000,0.657446
47.000000,0.666443
48.000000,0.674927
49.000000,0.682996
50.000000,0.691256
51.000000,0.699164
52.000000,0.706784
53.000000,0.714565
54.000000,0.721801
55.000000,0.729165
56.000000,0.736401
57.000000,0.742996
58.000000,0.749336
59.000000,0.756347
60.000000,0.762463
61.000000,0.768226
62.000000,0.774565
63.000000,0.780008
64.000000,0.785291
65.000000,0.790894
66.000000,0.796145
67.000000,0.801236
68.000000,0.806359
69.000000,0.811193
70.000000,0.815804
71.000000,0.820542
72.000000,0.824993
73.000000,0.829379
74.000000,0.833445
75.000000,0.837704
76.000000,0.841866
77.000000,0.845708
78.000000,0.849742
79.000000,0.853680
80.000000,0.857555
81.000000,0.861269
82.000000,0.864822
83.000000,0.868601
84.000000,0.871866
85.000000,0.875292
86.000000,0.878622
87.000000,0.881664
88.000000,0.884961
89.000000,0.887843
90.000000,0.890789
91.000000,0.893894
92.000000,0.896648
93.000000,0.899497
94.000000,0.901963
95.000000,0.904684
96.000000,0.907182
97.000000,0.909647
98.000000,0.911920
99.000000,0.914161
100.000000,0.916563
101.000000,0.918612
102.000000,0.920725
103.000000,0.922646
104.000000,0.924695
105.000000,0.926552
106.000000,0.928281
107.000000,0.930298
108.000000,0.932091
109.000000,0.933980
110.000000,0.935805
111.000000,0.937406
112.000000,0.939167
113.000000,0.940896
114.000000,0.942401
115.000000,0.944098
116.000000,0.945442
117.000000,0.946947
118.000000,0.948420
119.000000,0.949893
120.000000,0.951237
121.000000,0.952582
122.000000,0.953831
123.000000,0.955208
124.000000,0.956488
125.000000,0.957577
126.000000,0.958890
127.000000,0.959818
128.000000,0.960843
129.000000,0.962059
130.000000,0.963020
131.000000,0.963756
132.000000,0.964813
133.000000,0.965773
134.000000,0.966510
135.000000,0.967438
136.000000,0.968271
137.000000,0.968847
138.000000,0.969904
139.000000,0.970480
140.000000,0.971088
141.000000,0.971985
142.000000,0.972433
143.000000,0.973169
144.000000,0.973842
145.000000,0.974322
146.000000,0.975058
147.000000,0.975571
148.000000,0.976115
149.000000,0.976755
150.000000,0.977364
151.000000,0.977812
152.000000,0.978324
153.000000,0.978836
154.000000,0.979221
155.000000,0.979701
156.000000,0.980149
157.000000,0.980565
158.000000,0.981078
159.000000,0.981462
160.000000,0.981814
161.000000,0.982262
162.000000,0.982583
163.000000,0.982935
164.000000,0.983255
165.000000,0.983543
166.000000,0.983927
167.000000,0.984279
168.000000,0.984536
169.000000,0.984920
170.000000,0.985208
171.000000,0.985432
172.000000,0.985848
173.000000,0.986104
174.000000,0.986393
175.000000,0.986713
176.000000,0.986969
177.000000,0.987321
178.000000,0.987641
179.000000,0.987929
180.000000,0.988218
181.000000,0.988538
182.000000,0.988762
183.000000,0.989114
184.000000,0.989402
185.000000,0.989594
186.000000,0.989947
187.000000,0.990235
188.000000,0.990459
189.000000,0.990779
190.000000,0.991035
191.000000,0.991291
192.000000,0.991611
193.000000,0.991868
194.000000,0.992028
195.000000,0.992348
196.000000,0.992636
197.000000,0.992796
198.000000,0.993148
199.000000,0.993340
200.000000,0.993500
201.000000,0.993789
202.000000,0.993981
203.000000,0.994173
204.000000,0.994429
205.000000,0.994621
206.000000,0.994781
207.000000,0.994973
208.000000,0.995197
209.000000,0.995293
210.000000,0.995454
211.000000,0.995646
212.000000,0.995742
213.000000,0.995966
214.000000,0.996062
215.000000,0.996190
216.000000,0.996350
217.000000,0.996414
218.000000,0.996510
219.000000,0.996670
220.000000,0.996702
221.000000,0.996766
222.000000,0.996894
223.000000,0.996926
224.000000,0.996990
225.000000,0.997086
226.000000,0.997118
227.000000,0.997182
228.000000,0.997247
229.000000,0.997279
230.000000,0.997343
231.000000,0.997407
232.000000,0.997471
233.000000,0.997503
234.000000,0.997567
235.000000,0.997631
236.000000,0.997663
237.000000,0.997759
238.000000,0.997791
239.000000,0.997855
240.000000,0.997919
241.000000,0.997951
242.000000,0.998047
243.000000,0.998079
244.000000,0.998143
245.000000,0.998207
246.000000,0.998239
247.000000,0.998303
248.000000,0.998335
249.000000,0.998367
250.000000,0.998431
251.000000,0.998463
252.000000,0.998495
253.000000,0.998559
254.000000,0.998591
255.000000,0.998623
256.000000,0.998687
257.000000,0.998719
258.000000,0.998783
259.000000,0.998815
260.000000,0.998847
261.000000,0.998911
262.000000,0.998975
263.000000,0.999007
264.000000,0.999039
265.000000,0.999104
266.000000,0.999136
268.000000,0.999168
269.000000,0.999200
271.000000,0.999232
272.000000,0.999264
273.000000,0.999296
275.000000,0.999328
276.000000,0.999360
278.000000,0.999392
281.000000,0.999424
284.000000,0.999456
287.000000,0.999488
290.000000,0.999520
292.000000,0.999552
295.000000,0.999584
298.000000,0.999616
301.000000,0.999648
304.000000,0.999680
307.000000,0.999712
310.000000,0.999744
313.000000,0.999776
315.000000,0.999808
470.000000,0.999840
473.000000,0.999872
476.000000,0.999904
1221.000000,0.999936
1224.000000,0.999968
1226.000000,1.000000
