value_ms,cdf
1.000000,0.092002
2.000000,0.106165
3.000000,0.925239
4.000000,0.928187
5.000000,0.931648
6.000000,0.933891
7.000000,0.936390
8.000000,0.938666
9.000000,0.940396
10.000000,0.942703
11.000000,0.944722
12.000000,0.946549
13.000000,0.948439
14.000000,0.949913
15.000000,0.951740
16.000000,0.953599
17.000000,0.955585
18.000000,0.956963
19.000000,0.958309
20.000000,0.959559
21.000000,0.960841
22.000000,0.962059
23.000000,0.963212
24.000000,0.964526
25.000000,0.965840
26.000000,0.966801
27.000000,0.967666
28.000000,0.968884
29.000000,0.969813
30.000000,0.970679
31.000000,0.971480
32.000000,0.972441
33.000000,0.973467
34.000000,0.974236
35.000000,0.975261
36.000000,0.976126
37.000000,0.976735
38.000000,0.977184
39.000000,0.977921
40.000000,0.978434
41.000000,0.979267
42.000000,0.980004
43.000000,0.980869
44.000000,0.981446
45.000000,0.981959
46.000000,0.982664
47.000000,0.983369
48.000000,0.983817
49.000000,0.984266
50.000000,0.984714
51.000000,0.985419
52.000000,0.985868
53.000000,0.986285
54.000000,0.986573
55.000000,0.986926
56.000000,0.987438
57.000000,0.987791
58.000000,0.988079
59.000000,0.988368
60.000000,0.988912
61.000000,0.989393
62.000000,0.989746
63.000000,0.989938
64.000000,0.990130
65.000000,0.990322
66.000000,0.990579
67.000000,0.990803
68.000000,0.991091
69.000000,0.991284
70.000000,0.991604
71.000000,0.991893
72.000000,0.992181
73.000000,0.992405
74.000000,0.992533
75.000000,0.992822
76.000000,0.993110
77.000000,0.993335
78.000000,0.993495
79.000000,0.993655
80.000000,0.993879
81.000000,0.994072
82.000000,0.994296
83.000000,0.994360
84.000000,0.994488
85.000000,0.994681
86.000000,0.994713
87.000000,0.995001
88.000000,0.995065
89.000000,0.995289
90.000000,0.995546
91.000000,0.995578
92.000000,0.995738
93.000000,0.995898
94.000000,0.996026
95.000000,0.996090
96.000000,0.996187
97.000000,0.996315
98.000000,0.996379
99.000000,0.996507
100.000000,0.996603
101.000000,0.996667
102.000000,0.996828
103.000000,0.996956
104.000000,0.996988
105.000000,0.997052
106.000000,0.997148
107.000000,0.997244
108.000000,0.997404
109.000000,0.997468
110.000000,0.997533
111.000000,0.997565
112.000000,0.997597
113.000000,0.997629
114.000000,0.997693
115.000000,0.997757
116.000000,0.997821
117.000000,0.997853
118.000000,0.997885
119.000000,0.997949
120.000000,0.997981
121.000000,0.998045
124.000000,0.998109
125.000000,0.998173
126.000000,0.998205
128.000000,0.998270
129.000000,0.998334
130.000000,0.998398
131.000000,0.998430
132.000000,0.998462
134.000000,0.998622
135.000000,0.998686
136.000000,0.998718
137.000000,0.998750
138.000000,0.998782
139.000000,0.998814
140.000000,0.998878
141.000000,0.998910
143.000000,0.998975
145.000000,0.999007
148.000000,0.999039
149.000000,0.999071
151.000000,0.999135
153.000000,0.999167
156.000000,0.999231
158.000000,0.999263
166.000000,0.999295
167.000000,0.999327
169.000000,0.999359
171.000000,0.999391
176.000000,0.999423
178.000000,0.999455
185.000000,0.999487
189.000000,0.999519
190.000000,0.999551
191.000000,0.999583
200.000000,0.999615
201.000000,0.999648
203.000000,0.999680
209.000000,0.999712
213.000000,0.999744
218.000000,0.999776
220.000000,0.999808
252.000000,0.999840
261.000000,0.999872
264.000000,0.999936
446.000000,0.999968
1133.000000,1.000000
