value_ms,cdf
1.000000,0.059186
2.000000,0.170845
3.000000,0.313331
4.000000,0.425949
5.000000,0.546102
6.000000,0.617345
7.000000,0.690917
8.000000,0.722839
9.000000,0.760926
10.000000,0.780381
11.000000,0.793122
12.000000,0.818194
13.000000,0.852994
14.000000,0.876832
15.000000,0.891081
16.000000,0.907248
17.000000,0.925606
18.000000,0.930538
19.000000,0.933690
20.000000,0.938074
21.000000,0.944787
22.000000,0.952459
23.000000,0.956432
24.000000,0.956980
27.000000,0.959035
28.000000,0.966160
29.000000,0.978079
30.000000,0.981915
31.000000,0.984655
34.000000,0.985340
35.000000,0.986162
36.000000,0.988218
37.000000,0.989040
44.000000,0.989999
45.000000,0.990547
56.000000,0.991917
57.000000,0.992054
62.000000,0.992602
63.000000,0.993561
67.000000,0.998082
68.000000,0.998493
143.000000,0.998767
185.000000,0.999589
186.000000,1.000000
