value_ms,cdf
1.000000,0.981871
2.000000,0.985030
3.000000,0.987502
4.000000,0.989837
5.000000,0.991759
6.000000,0.992446
7.000000,0.993545
8.000000,0.994506
9.000000,0.995330
10.000000,0.995880
11.000000,0.996841
12.000000,0.996978
13.000000,0.997116
14.000000,0.997253
17.000000,0.997390
18.000000,0.997528
21.000000,0.997665
23.000000,0.997802
24.000000,0.998215
29.000000,0.998352
33.000000,0.998489
36.000000,0.998627
38.000000,0.998764
42.000000,0.998901
44.000000,0.999039
53.000000,0.999176
56.000000,0.999451
61.000000,0.999725
136.000000,0.999863
171.000000,1.000000
