value_ms,cdf
1.000000,0.062898
2.000000,0.163465
3.000000,0.317674
4.000000,0.420441
5.000000,0.528976
6.000000,0.593404
7.000000,0.645697
8.000000,0.687016
9.000000,0.720808
10.000000,0.746532
11.000000,0.767502
12.000000,0.784904
13.000000,0.799540
14.000000,0.811370
15.000000,0.820584
16.000000,0.828308
17.000000,0.835345
18.000000,0.841090
19.000000,0.846222
20.000000,0.850798
21.000000,0.855080
22.000000,0.858350
23.000000,0.861434
24.000000,0.864157
25.000000,0.866720
26.000000,0.868934
27.000000,0.870969
28.000000,0.872826
29.000000,0.874728
30.000000,0.876338
31.000000,0.877932
32.000000,0.879762
33.000000,0.881402
34.000000,0.883091
35.000000,0.884301
36.000000,0.885508
37.000000,0.886824
38.000000,0.888220
39.000000,0.889581
40.000000,0.890786
41.000000,0.892034
42.000000,0.893174
43.000000,0.894527
44.000000,0.895872
45.000000,0.897093
46.000000,0.898305
47.000000,0.899593
48.000000,0.900633
49.000000,0.901621
50.000000,0.902609
51.000000,0.903495
52.000000,0.904454
53.000000,0.905257
54.000000,0.906339
55.000000,0.907297
56.000000,0.908195
57.000000,0.909118
58.000000,0.910225
59.000000,0.911231
60.000000,0.912257
61.000000,0.913234
62.000000,0.914029
63.000000,0.914910
64.000000,0.915602
65.000000,0.916386
66.000000,0.917310
67.000000,0.918243
68.000000,0.918937
69.000000,0.919643
70.000000,0.920418
71.000000,0.921087
72.000000,0.921768
73.000000,0.922520
74.000000,0.923316
75.000000,0.924041
76.000000,0.924839
77.000000,0.925658
78.000000,0.926357
79.000000,0.927041
80.000000,0.927652
81.000000,0.928248
82.000000,0.928975
83.000000,0.929817
84.000000,0.930369
85.000000,0.931182
86.000000,0.931857
87.000000,0.932604
88.000000,0.933361
89.000000,0.933947
90.000000,0.934850
91.000000,0.935578
92.000000,0.936251
93.000000,0.936968
94.000000,0.937600
95.000000,0.938192
96.000000,0.938895
97.000000,0.939541
98.000000,0.940222
99.000000,0.940930
100.000000,0.941682
101.000000,0.942303
102.000000,0.942809
103.000000,0.943441
104.000000,0.943896
105.000000,0.944337
106.000000,0.944890
107.000000,0.945364
108.000000,0.945804
109.000000,0.946246
110.000000,0.946649
111.000000,0.947106
112.000000,0.947687
113.000000,0.948254
114.000000,0.948733
115.000000,0.949122
116.000000,0.949479
117.000000,0.949906
118.000000,0.950402
119.000000,0.951110
120.000000,0.951712
121.000000,0.952244
122.000000,0.952660
123.000000,0.953132
124.000000,0.953634
125.000000,0.954240
126.000000,0.954714
127.000000,0.955157
128.000000,0.955577
129.000000,0.955960
130.000000,0.956511
131.000000,0.956947
132.000000,0.957377
133.000000,0.957731
134.000000,0.958032
135.000000,0.958407
136.000000,0.958796
137.000000,0.959257
138.000000,0.959620
139.000000,0.959971
140.000000,0.960331
141.000000,0.960663
142.000000,0.961046
143.000000,0.961458
144.000000,0.961909
145.000000,0.962320
146.000000,0.962681
147.000000,0.963063
148.000000,0.963433
149.000000,0.963868
150.000000,0.964202
151.000000,0.964470
152.000000,0.964771
153.000000,0.965128
154.000000,0.965390
155.000000,0.965797
156.000000,0.966202
157.000000,0.966507
158.000000,0.966815
159.000000,0.967209
160.000000,0.967660
161.000000,0.968042
162.000000,0.968272
163.000000,0.968469
164.000000,0.968640
165.000000,0.968790
166.000000,0.969004
167.000000,0.969269
168.000000,0.969575
169.000000,0.969914
170.000000,0.970242
171.000000,0.970570
172.000000,0.970814
173.000000,0.971005
174.000000,0.971182
175.000000,0.971348
176.000000,0.971601
177.000000,0.971873
178.000000,0.972106
179.000000,0.972358
180.000000,0.972547
181.000000,0.972826
182.000000,0.973049
183.000000,0.973324
184.000000,0.973530
185.000000,0.973758
186.000000,0.974052
187.000000,0.974297
188.000000,0.974438
189.000000,0.974571
190.000000,0.974812
191.000000,0.974976
192.000000,0.975168
193.000000,0.975418
194.000000,0.975634
195.000000,0.975817
196.000000,0.976021
197.000000,0.976233
198.000000,0.976407
199.000000,0.976585
200.000000,0.976797
201.000000,0.976971
202.000000,0.977135
203.000000,0.977357
204.000000,0.977572
205.000000,0.977785
206.000000,0.977999
207.000000,0.978173
208.000000,0.978386
209.000000,0.978569
210.000000,0.978786
211.000000,0.978974
212.000000,0.979187
213.000000,0.979391
214.000000,0.979598
215.000000,0.979771
216.000000,0.979950
217.000000,0.980129
218.000000,0.980321
219.000000,0.980537
220.000000,0.980712
221.000000,0.980957
222.000000,0.981108
223.000000,0.981287
224.000000,0.981427
225.000000,0.981546
226.000000,0.981690
227.000000,0.981787
228.000000,0.981911
229.000000,0.982021
230.000000,0.982192
231.000000,0.982336
232.000000,0.982591
233.000000,0.982754
234.000000,0.982906
235.000000,0.983004
236.000000,0.983070
237.000000,0.983100
238.000000,0.983239
239.000000,0.983363
240.000000,0.983487
241.000000,0.983573
242.000000,0.983684
243.000000,0.983789
244.000000,0.983890
245.000000,0.983976
