value_ms,cdf
0.025000,0.005556
0.025000,0.011111
0.025000,0.016667
0.034000,0.022222
0.034000,0.027778
0.034000,0.033333
0.034000,0.038889
0.034000,0.044444
0.034000,0.050000
0.049000,0.055556
0.067000,0.061111
0.068000,0.066667
0.068000,0.072222
0.068000,0.077778
0.068000,0.083333
0.068000,0.088889
0.077000,0.094444
0.077000,0.100000
0.077000,0.105556
0.103000,0.111111
0.103000,0.116667
0.103000,0.122222
0.103000,0.127778
0.103000,0.133333
0.104000,0.138889
0.146000,0.144444
0.146000,0.150000
0.205000,0.155556
0.310000,0.161111
0.319000,0.166667
0.319000,0.172222
0.319000,0.177778
0.319000,0.183333
0.319000,0.188889
0.319000,0.194444
0.364000,0.200000
0.364000,0.205556
0.364000,0.211111
0.373000,0.216667
0.397000,0.222222
0.407000,0.227778
0.433000,0.233333
0.433000,0.238889
0.438000,0.244444
0.438000,0.250000
0.438000,0.255556
0.438000,0.261111
0.438000,0.266667
0.447000,0.272222
0.516000,0.277778
0.516000,0.283333
0.516000,0.288889
0.516000,0.294444
0.516000,0.300000
0.516000,0.305556
0.521000,0.311111
0.535000,0.316667
0.545000,0.322222
0.545000,0.327778
0.649000,0.333333
0.672000,0.338889
0.752000,0.344444
0.768000,0.350000
0.768000,0.355556
0.777000,0.361111
0.777000,0.366667
0.822000,0.372222
0.840000,0.377778
0.883000,0.383333
0.891000,0.388889
0.891000,0.394444
0.891000,0.400000
0.891000,0.405556
0.910000,0.411111
0.961000,0.416667
0.986000,0.422222
1.003000,0.427778
1.003000,0.433333
1.005000,0.438889
1.043000,0.444444
1.082000,0.450000
1.176000,0.455556
1.264000,0.461111
1.309000,0.466667
1.309000,0.472222
1.373000,0.477778
1.378000,0.483333
1.378000,0.488889
1.378000,0.494444
1.378000,0.500000
1.412000,0.505556
1.437000,0.511111
1.461000,0.516667
1.491000,0.522222
1.551000,0.527778
1.634000,0.533333
1.639000,0.538889
1.679000,0.544444
1.699000,0.550000
1.699000,0.555556
1.703000,0.561111
1.703000,0.566667
1.767000,0.572222
1.791000,0.577778
1.791000,0.583333
1.791000,0.588889
1.791000,0.594444
1.812000,0.600000
1.870000,0.605556
1.870000,0.611111
1.881000,0.616667
1.881000,0.622222
1.934000,0.627778
1.934000,0.633333
1.934000,0.638889
1.949000,0.644444
1.949000,0.650000
1.964000,0.655556
2.012000,0.661111
2.012000,0.666667
2.249000,0.672222
2.451000,0.677778
2.451000,0.683333
2.451000,0.688889
2.520000,0.694444
2.579000,0.700000
2.585000,0.705556
2.585000,0.711111
2.840000,0.716667
2.978000,0.722222
2.978000,0.727778
2.978000,0.733333
3.130000,0.738889
3.239000,0.744444
3.308000,0.750000
3.772000,0.755556
3.772000,0.761111
3.929000,0.766667
4.147000,0.772222
4.259000,0.777778
4.304000,0.783333
4.304000,0.788889
4.304000,0.794444
4.304000,0.800000
4.495000,0.805556
4.495000,0.811111
4.634000,0.816667
4.932000,0.822222
5.116000,0.827778
5.491000,0.833333
5.844000,0.838889
120.001000,0.844444
120.001000,0.850000
120.001000,0.855556
120.001000,0.861111
120.001000,0.866667
120.001000,0.872222
120.001000,0.877778
120.001000,0.883333
120.001000,0.888889
120.001000,0.894444
120.001000,0.900000
120.001000,0.905556
120.001000,0.911111
120.001000,0.916667
120.001000,0.922222
120.001000,0.927778
120.001000,0.933333
120.001000,0.938889
120.001000,0.944444
120.001000,0.950000
484.578000,0.955556
484.578000,0.961111
484.908000,0.966667
487.261000,0.972222
488.837000,0.977778
488.837000,0.983333
490.117000,0.988889
490.181000,0.994444
491.038000,1.000000
