value_ms,cdf
1.000000,0.113570
2.000000,0.134277
3.000000,0.147166
4.000000,0.156093
5.000000,0.163753
6.000000,0.169246
7.000000,0.176166
8.000000,0.182029
9.000000,0.187787
10.000000,0.193703
11.000000,0.198035
12.000000,0.203634
13.000000,0.208336
14.000000,0.213248
15.000000,0.218214
16.000000,0.221911
17.000000,0.226084
18.000000,0.230944
19.000000,0.234325
20.000000,0.238920
21.000000,0.242935
22.000000,0.246897
23.000000,0.251545
24.000000,0.254873
25.000000,0.259574
26.000000,0.263325
27.000000,0.267128
28.000000,0.271460
29.000000,0.274365
30.000000,0.278274
31.000000,0.281707
32.000000,0.284982
33.000000,0.288944
34.000000,0.291849
35.000000,0.295230
36.000000,0.298928
37.000000,0.301305
38.000000,0.305425
39.000000,0.308013
40.000000,0.310707
41.000000,0.313982
42.000000,0.316676
43.000000,0.319740
44.000000,0.322487
45.000000,0.325287
46.000000,0.328192
47.000000,0.330516
48.000000,0.333157
49.000000,0.336221
50.000000,0.338545
51.000000,0.341609
52.000000,0.343616
53.000000,0.345941
54.000000,0.348793
55.000000,0.351117
56.000000,0.353864
57.000000,0.356030
58.000000,0.358724
59.000000,0.361259
60.000000,0.363584
61.000000,0.366330
62.000000,0.368602
63.000000,0.371084
64.000000,0.373726
65.000000,0.375733
66.000000,0.378163
67.000000,0.380804
68.000000,0.383339
69.000000,0.385769
70.000000,0.388146
71.000000,0.390154
72.000000,0.392584
73.000000,0.395066
74.000000,0.397391
75.000000,0.399556
76.000000,0.401775
77.000000,0.404363
78.000000,0.406423
79.000000,0.408642
80.000000,0.410544
81.000000,0.413026
82.000000,0.415086
83.000000,0.416988
84.000000,0.419365
85.000000,0.421478
86.000000,0.423961
87.000000,0.425757
88.000000,0.427975
89.000000,0.429877
90.000000,0.431831
91.000000,0.434156
92.000000,0.435793
93.000000,0.437906
94.000000,0.439913
95.000000,0.441868
96.000000,0.443717
97.000000,0.445407
98.000000,0.447097
99.000000,0.449210
100.000000,0.450689
101.000000,0.452380
102.000000,0.454281
103.000000,0.455655
104.000000,0.457821
105.000000,0.459300
106.000000,0.461254
107.000000,0.462997
108.000000,0.464582
109.000000,0.466748
110.000000,0.468068
111.000000,0.470234
112.000000,0.471872
113.000000,0.473615
114.000000,0.475041
115.000000,0.476731
116.000000,0.478527
117.000000,0.480006
118.000000,0.481644
119.000000,0.482912
120.000000,0.484549
121.000000,0.485975
122.000000,0.487402
123.000000,0.488986
124.000000,0.490413
125.000000,0.492156
126.000000,0.493476
127.000000,0.494850
128.000000,0.496329
129.000000,0.497966
130.000000,0.499340
131.000000,0.500660
132.000000,0.502087
133.000000,0.503407
134.000000,0.504939
135.000000,0.506312
136.000000,0.507580
137.000000,0.508954
138.000000,0.510063
139.000000,0.511648
140.000000,0.512704
141.000000,0.513919
142.000000,0.515504
143.000000,0.516824
144.000000,0.518039
145.000000,0.519043
146.000000,0.520416
147.000000,0.521790
