value_ms,cdf
1.000000,0.117862
2.000000,0.132350
3.000000,0.955795
4.000000,0.957752
5.000000,0.959285
6.000000,0.961030
7.000000,0.962299
8.000000,0.963357
9.000000,0.964150
10.000000,0.965049
11.000000,0.965948
12.000000,0.966741
13.000000,0.967587
14.000000,0.968168
15.000000,0.968962
16.000000,0.969385
17.000000,0.969702
18.000000,0.970125
19.000000,0.970654
20.000000,0.971447
21.000000,0.972240
22.000000,0.972716
23.000000,0.973615
24.000000,0.973826
25.000000,0.974196
26.000000,0.974619
27.000000,0.974989
28.000000,0.975571
29.000000,0.975835
30.000000,0.976576
31.000000,0.977104
32.000000,0.977739
33.000000,0.978268
34.000000,0.978691
35.000000,0.979114
36.000000,0.979590
37.000000,0.979854
38.000000,0.980118
39.000000,0.980224
40.000000,0.980383
41.000000,0.980489
42.000000,0.980541
43.000000,0.981017
44.000000,0.981123
45.000000,0.981282
46.000000,0.981546
47.000000,0.981705
48.000000,0.981810
50.000000,0.982022
51.000000,0.982339
52.000000,0.982445
53.000000,0.982604
54.000000,0.982709
55.000000,0.982921
56.000000,0.983344
57.000000,0.983608
58.000000,0.983767
59.000000,0.984137
60.000000,0.984401
61.000000,0.984666
62.000000,0.984772
63.000000,0.984930
64.000000,0.985195
65.000000,0.985406
66.000000,0.985565
67.000000,0.985829
68.000000,0.985988
69.000000,0.986199
70.000000,0.986358
71.000000,0.986569
72.000000,0.986728
73.000000,0.986940
74.000000,0.987045
75.000000,0.987310
76.000000,0.987415
77.000000,0.987680
78.000000,0.987891
79.000000,0.987944
80.000000,0.988050
81.000000,0.988314
82.000000,0.988526
83.000000,0.988684
84.000000,0.988896
85.000000,0.989002
86.000000,0.989107
87.000000,0.989213
88.000000,0.989478
89.000000,0.989583
90.000000,0.989742
91.000000,0.990059
92.000000,0.990324
93.000000,0.990535
94.000000,0.990641
95.000000,0.990747
96.000000,0.990852
97.000000,0.990905
98.000000,0.991064
99.000000,0.991275
100.000000,0.991381
101.000000,0.991434
102.000000,0.991487
103.000000,0.991593
104.000000,0.991698
105.000000,0.991751
108.000000,0.991910
109.000000,0.992121
110.000000,0.992174
111.000000,0.992227
113.000000,0.992333
114.000000,0.992439
115.000000,0.992544
116.000000,0.992650
118.000000,0.992756
119.000000,0.992809
120.000000,0.992915
121.000000,0.992967
122.000000,0.993073
123.000000,0.993179
124.000000,0.993285
125.000000,0.993496
126.000000,0.993708
127.000000,0.993813
128.000000,0.993866
131.000000,0.993972
132.000000,0.994025
133.000000,0.994131
134.000000,0.994184
136.000000,0.994289
138.000000,0.994395
139.000000,0.994501
140.000000,0.994607
141.000000,0.994659
142.000000,0.994871
145.000000,0.995030
146.000000,0.995082
147.000000,0.995241
149.000000,0.995294
150.000000,0.995347
151.000000,0.995505
154.000000,0.995558
159.000000,0.995611
160.000000,0.995664
161.000000,0.995770
162.000000,0.995823
164.000000,0.995876
165.000000,0.995981
166.000000,0.996034
167.000000,0.996140
168.000000,0.996299
169.000000,0.996352
171.000000,0.996457
172.000000,0.996510
173.000000,0.996563
174.000000,0.996616
178.000000,0.996669
179.000000,0.996722
183.000000,0.996775
189.000000,0.996827
190.000000,0.996880
194.000000,0.996933
195.000000,0.997039
198.000000,0.997092
199.000000,0.997145
201.000000,0.997198
204.000000,0.997250
208.000000,0.997409
210.000000,0.997515
213.000000,0.997568
215.000000,0.997673
219.000000,0.997779
224.000000,0.997832
227.000000,0.997885
229.000000,0.997938
232.000000,0.997991
233.000000,0.998044
241.000000,0.998096
242.000000,0.998149
246.000000,0.998255
247.000000,0.998361
249.000000,0.998414
259.000000,0.998467
263.000000,0.998519
264.000000,0.998572
267.000000,0.998625
272.000000,0.998731
274.000000,0.998784
279.000000,0.998837
280.000000,0.998890
282.000000,0.998942
288.000000,0.998995
291.000000,0.999048
295.000000,0.999101
308.000000,0.999154
309.000000,0.999207
312.000000,0.999260
314.000000,0.999365
325.000000,0.999471
326.000000,0.999524
332.000000,0.999577
348.000000,0.999630
349.000000,0.999683
357.000000,0.999736
379.000000,0.999788
427.000000,0.999841
499.000000,0.999894
533.000000,0.999947
624.000000,1.000000
