value_ms,cdf
12.274000,0.007752
63.846515,0.015504
89.805970,0.023256
263.496000,0.031008
264.908893,0.038760
381.874131,0.046512
385.894705,0.054264
558.616485,0.062016
614.853393,0.069767
646.359513,0.077519
690.335905,0.085271
802.653485,0.093023
896.601788,0.100775
919.030095,0.108527
945.085515,0.116279
978.032485,0.124031
991.636779,0.131783
1392.044000,0.139535
1564.229000,0.147287
1632.298000,0.155039
1756.023000,0.162791
1895.934000,0.170543
1971.081000,0.178295
2700.966000,0.186047
2832.267485,0.193798
2851.928221,0.201550
2860.183248,0.209302
2868.771497,0.217054
2967.395485,0.224806
2970.602000,0.232558
2991.673762,0.240310
2993.865626,0.248062
3003.581485,0.255814
3005.369527,0.263566
3008.551000,0.271318
3011.019000,0.279070
3011.533485,0.286822
3011.657485,0.294574
3023.187000,0.302326
3023.450000,0.310078
3033.299485,0.317829
3034.643000,0.325581
3035.114000,0.333333
3051.151750,0.341085
3053.780485,0.348837
3066.841000,0.356589
3067.949000,0.364341
3068.372000,0.372093
3074.898000,0.379845
3075.564000,0.387597
3076.212000,0.395349
3077.102517,0.403101
3104.437000,0.410853
3235.071133,0.418605
3365.633000,0.426357
3388.362705,0.434109
3389.258000,0.441860
3389.657485,0.449612
3393.316095,0.457364
3458.035441,0.465116
3480.906000,0.472868
3535.310000,0.480620
3536.763000,0.488372
3548.687000,0.496124
3574.875684,0.503876
3576.577580,0.511628
3577.211401,0.519380
3581.943000,0.527132
3582.827299,0.534884
3583.779389,0.542636
3589.176460,0.550388
3593.073485,0.558140
3593.987712,0.565891
3601.529504,0.573643
3603.192485,0.581395
3603.614580,0.589147
3612.455000,0.596899
3623.811485,0.604651
3625.253485,0.612403
3627.574000,0.620155
3628.765970,0.627907
3635.283265,0.635659
3635.841000,0.643411
3638.541485,0.651163
3639.171346,0.658915
3640.831000,0.666667
3641.831000,0.674419
3647.084346,0.682171
3649.162177,0.689922
3655.322369,0.697674
3668.996485,0.705426
3669.489149,0.713178
3690.257000,0.720930
3691.584000,0.728682
3693.617485,0.736434
3699.818730,0.744186
3701.433619,0.751938
3711.130485,0.759690
3711.666485,0.767442
3713.633380,0.775194
3748.108485,0.782946
3793.180652,0.790698
3796.151485,0.798450
3818.503570,0.806202
3823.113485,0.813953
3825.009485,0.821705
3853.530485,0.829457
3856.546000,0.837209
3859.770000,0.844961
3860.721097,0.852713
3883.900000,0.860465
3887.408000,0.868217
3899.308485,0.875969
3908.131580,0.883721
3917.744000,0.891473
3919.160000,0.899225
3932.611120,0.906977
3934.812485,0.914729
3935.713485,0.922481
3937.582000,0.930233
3939.814485,0.937984
3960.309000,0.945736
3962.393000,0.953488
3970.265624,0.961240
3986.556000,0.968992
3990.446619,0.976744
3991.464485,0.984496
3999.960432,0.992248
3999.977183,1.000000
